scenario,time,node,availabilityCarrier
a,0,AT,236543478.3
a,0,BE,235301218.7
a,0,BG,117294214.7
a,0,CH,170951833.9
a,0,CY,9377311.475
a,0,CZ,165225788.7
a,0,DE,1996699426.0
a,0,DK,322330286.4
a,0,EE,20753206.48
a,0,EL,134120793.0
a,0,ES,1067870619.0
a,0,FI,105120620.1
a,0,FR,2084823505.0
a,0,HR,62370484.21
a,0,HU,259970716.7
a,0,IE,180461849.7
a,0,IT,1037880189.0
a,0,LT,85655218.79
a,0,LU,14877625.04
a,0,LV,23529469.89
a,0,ME,2508562.832
a,0,MK,13053976.61
a,0,MT,2126150.661
a,0,NL,478246659.0
a,0,NO,76940228.69
a,0,PL,757519860.9
a,0,PT,128556070.0
a,0,RO,354723325.0
a,0,RS,117307589.8
a,0,SE,171781672.3
a,0,SI,24534259.68
a,0,SK,87913786.25
a,0,UK,1197672807.0
