scenario,time,node,availabilityCarrier
a,0,AT,0.00E+00
a,0,BE,0.00E+00
a,0,BG,0.00E+00
a,0,CH,0.00E+00
a,0,CY,0.00E+00
a,0,CZ,0.00E+00
a,0,DE,0.00E+00
a,0,DK,0.00E+00
a,0,EE,0.00E+00
a,0,EL,0.00E+00
a,0,ES,0.00E+00
a,0,FI,0.00E+00
a,0,FR,0.00E+00
a,0,HR,0.00E+00
a,0,HU,0.00E+00
a,0,IE,0.00E+00
a,0,IT,0.00E+00
a,0,LT,0.00E+00
a,0,LU,0.00E+00
a,0,LV,0.00E+00
a,0,ME,0.00E+00
a,0,MK,0.00E+00
a,0,MT,0.00E+00
a,0,NL,0.00E+00
a,0,NO,0.00E+00
a,0,PL,0.00E+00
a,0,PT,0.00E+00
a,0,RO,0.00E+00
a,0,RS,0.00E+00
a,0,SE,0.00E+00
a,0,SI,0.00E+00
a,0,SK,0.00E+00
a,0,UK,0.00E+00
