scenario,time,node,availabilityCarrier
a,1,AT,139100.0
a,1,BE,40200.0
a,1,BG,192100.0
a,1,CH,25700.0
a,1,CY,19100.0
a,1,CZ,108300.0
a,1,DE,693500.0
a,1,DK,200100.0
a,1,EE,74800.0
a,1,EL,427500.0
a,1,ES,1640700.0
a,1,FI,182800.0
a,1,FR,1393500.0
a,1,HR,70600.0
a,1,HU,238500.0
a,1,IE,348100.0
a,1,IT,669600.0
a,1,LT,199700.0
a,1,LU,2100.0
a,1,LV,213200.0
a,1,ME,2800.0
a,1,MK,16100.000000000002
a,1,MT,930.0
a,1,NL,255900.0
a,1,NO,114400.0
a,1,PL,623900.0
a,1,PT,108600.0
a,1,RO,553400.0
a,1,RS,88600.0
a,1,SE,564700.0
a,1,SI,11500.0
a,1,SK,70000.0
a,1,UK,1224600.0
