node,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
AT,0.0,770.3219748734944,1032.6435449587625,453.6972189390188,2158.181424563746,255.46704959348494,474.5969264386361,996.0190865048722,1465.514764437739,1133.3934498332874,1629.0074196592846,2029.9069087820258,889.0081930657333,464.50907096955564,402.25566184331075,1696.6175085298396,543.0103186128234,1101.7831133548923,639.8870485460697,1318.9554943469475,672.5380647108382,900.9720919146164,1302.1634515528376,802.7592155310336,1567.4095446669326,633.6565878770612,1991.6518694375281,857.842775978209,639.9105040691235,1454.9886007075797,170.35958789572157,417.69792800060645,1314.053572328389
BE,770.3219748734944,0.0,1802.7242842059902,486.08512608389907,2925.777566270717,767.9825789202514,405.40031915379643,674.4757909406383,1627.3140370936399,1874.0477922897276,1314.5378544766222,1996.2919555636138,475.5706987367916,1177.214676280414,1147.808209611693,926.3080104009681,1054.587305617226,1392.5078557498337,141.119393564457,1581.598137998714,1417.3142965037785,1655.504719704538,1818.2776442570594,196.08094534910836,1229.9850714443648,1039.1885050773994,1583.1532633150214,1602.4436383901307,1409.4654339943922,1269.266607196455,903.4887728118157,1090.4731797366685,551.3167400415118
BG,1032.6435449587625,1802.7242842059902,0.0,1429.9685797338345,1142.3982688769274,1098.499999517979,1467.5644888930774,1878.0594643751297,1799.6308981844027,434.59447085760354,2417.393801954907,2455.28838358552,1854.735386540355,726.8296382757104,680.6580986559992,2728.815118670556,1047.358752560459,1424.33963602541,1672.1538735517133,1578.1638565424694,495.2455557438148,324.8020114869984,1214.8671096811374,1817.7778853944174,2345.2654764955714,1144.9412684819247,2808.135770648029,349.8737667573836,400.9393935010628,2137.678867768964,918.403082532392,809.2291310481842,2342.2756471713574
CH,453.6972189390188,486.08512608389907,1429.9685797338345,0.0,2513.8912151071695,611.3290178169199,484.42590187767604,1011.8588997212008,1759.8376484215812,1432.017604132715,1200.6229170443153,2245.5323940411095,437.6078141406984,739.7345049745888,851.6758876309696,1359.5208918707356,570.5296870356532,1439.8167743657518,350.21749516550386,1652.9766074512365,990.7369072331968,1232.5043175924377,1334.2619566430726,621.8593914294454,1607.333259886076,993.5783944636676,1549.9805218018066,1300.0994272427781,1029.1587163916943,1575.8632959314712,514.8442831546254,866.0099081332728,1019.8784271323715
CY,2158.181424563746,2925.777566270717,1142.3982688769274,2513.8912151071695,0.0,2240.815133447648,2607.0620566033713,3014.3714941980857,2771.8590403058024,1103.3673468944962,3316.495777031082,3412.3205490752184,2911.169715932412,1774.6693496403775,1822.9967228947507,3850.6203872365813,2026.6576509918982,2443.0052872071315,2790.5413531014015,2546.173863105189,1523.157328895804,1281.4059372209103,1744.5289220520247,2954.4917541675422,3451.2915596085186,2255.8606436648515,3704.800944990432,1437.632947118979,1518.7295980186864,3221.1083732971483,2024.278767687889,1947.052737061839,3472.212656548703
CZ,255.46704959348494,767.9825789202514,1098.499999517979,611.3290178169199,2240.815133447648,0.0,382.05304187376913,808.0348055684233,1212.8461024536464,1282.8231621548625,1811.9353491824704,1774.9537259863982,1013.6467034830232,672.9552166563536,417.8421312373848,1669.8859522548241,797.6924671601207,856.8846112108673,665.104068838103,1073.9911908651766,835.6118416160697,1038.2733683808906,1544.1947576455502,735.8941638605378,1350.838700053045,392.63653953752157,2158.051385915081,849.9526310342239,743.7330346636485,1216.797871821364,404.107254614416,324.55107323809614,1270.9032431247472
DE,474.5969264386361,405.40031915379643,1467.5644888930774,484.42590187767604,2607.0620566033713,382.05304187376913,0.0,555.5664596832676,1304.3291851062754,1606.2334917813164,1609.6242147563514,1762.8301955213944,760.7569113461934,935.6750419029032,790.7880522832903,1288.287939532541,930.1777213441528,1022.9210274918584,337.01999562340524,1225.0666327547247,1146.131144597336,1370.1532385839187,1719.6502215930425,354.16058383309695,1149.9169116218789,637.2978656617328,1920.0808036030676,1231.7060371293953,1093.1637069830847,1094.9323999781905,640.1611785644303,705.8086763882973,888.8502766923123
DK,996.0190865048722,674.4757909406383,1878.0594643751297,1011.8588997212008,3014.3714941980857,808.0348055684233,555.5664596832676,0.0,1038.6925664377309,2090.7850735857573,1986.2863746733503,1326.432393302048,1148.8126808666414,1458.653809135327,1208.9625344736698,1170.8984440556746,1484.9031252798952,922.9818865394922,728.8669080325983,1059.0759148436905,1641.9300034511211,1845.734598788515,2273.416322649681,479.66126066006166,596.8492102172878,790.1040211478488,2235.086774337856,1582.5669649591448,1547.7989181673436,594.8548970337223,1166.3780793250535,1068.8766878410252,798.7580921011066
EE,1465.514764437739,1627.3140370936399,1799.6308981844027,1759.8376484215812,2771.8590403058024,1212.8461024536464,1304.3291851062754,1038.6925664377309,0.0,2174.9307006983013,2912.0283063270526,655.8486164794425,2058.8834835922603,1792.83097855654,1363.1393900471076,2191.019828962075,1998.0875433986873,393.8236235943709,1619.8292416974082,226.36694658231383,1844.448840795537,1945.019227383113,2685.153972185767,1457.552197376478,971.6786966122082,840.9929710818046,3207.353806161865,1450.4898688474182,1660.8287176638657,682.0655441011515,1590.0443905970055,1196.0296362252075,1835.2866070693156
EL,1133.3934498332874,1874.0477922897276,434.59447085760354,1432.017604132715,1103.3673468944962,1282.8231621548625,1606.2334917813164,2090.7850735857573,2174.9307006983013,0.0,2234.657104204133,2825.913397443382,1813.5769228585261,697.5317785563612,898.5551480382275,2787.0743551913,923.6381740622245,1787.3971987202506,1734.4253627164242,1960.2525468717038,461.1101423130925,247.51470854476514,826.4023273472794,1933.1162657452867,2612.255390187185,1439.949864131734,2626.1356289866294,744.5542957400762,552.952745160923,2434.8334106435295,977.1928441945325,1063.635373855627,2425.363131844797
