scenario,time,node,importPriceCarrier
a,0,AL01,70.0
a,0,ALO2,70.0
a,0,ALO3,70.0
a,0,AT11,70.0
a,0,AT12,70.0
a,0,AT13,70.0
a,0,AT21,70.0
a,0,AT22,70.0
a,0,AT31,70.0
a,0,AT32,70.0
a,0,AT33,70.0
a,0,AT34,70.0
a,0,BE10,70.0
a,0,BE21,70.0
a,0,BE22,70.0
a,0,BE23,70.0
a,0,BE24,70.0
a,0,BE25,70.0
a,0,BE31,70.0
a,0,BE32,70.0
a,0,BE33,70.0
a,0,BE34,70.0
a,0,BE35,70.0
a,0,BG31,70.0
a,0,BG32,70.0
a,0,BG33,70.0
a,0,BG34,70.0
a,0,BG41,70.0
a,0,BG42,70.0
a,0,CH04,70.0
a,0,CH05,70.0
a,0,CH06,70.0
a,0,CH07,70.0
a,0,CHO1,70.0
a,0,CHO2,70.0
a,0,CHO3,70.0
a,0,CYOO,70.0
a,0,CZ01,70.0
a,0,CZ02,70.0
a,0,CZ03,70.0
a,0,CZ04,70.0
a,0,CZ06,70.0
a,0,CZ07,70.0
a,0,CZ08,70.0
a,0,CZO,70.0
a,0,DE11,70.0
a,0,DE12,70.0
a,0,DE13,70.0
a,0,DE14,70.0
a,0,DE21,70.0
a,0,DE22,70.0
a,0,DE23,70.0
a,0,DE24,70.0
a,0,DE25,70.0
a,0,DE26,70.0
a,0,DE27,70.0
a,0,DE30,70.0
a,0,DE40,70.0
a,0,DE50,70.0
a,0,DE60,70.0
a,0,DE71,70.0
a,0,DE72,70.0
a,0,DE73,70.0
a,0,DE80,70.0
a,0,DE91,70.0
a,0,DE92,70.0
a,0,DE93,70.0
a,0,DE94,70.0
a,0,DEA1,70.0
a,0,DEA2,70.0
a,0,DEA3,70.0
a,0,DEA4,70.0
a,0,DEA5,70.0
a,0,DEB1,70.0
a,0,DEB2,70.0
a,0,DEB3,70.0
a,0,DECO,70.0
a,0,DED2,70.0
a,0,DED4,70.0
a,0,DED5,70.0
a,0,DEEO,70.0
a,0,DEFO,70.0
a,0,DEGO,70.0
a,0,DK01,70.0
a,0,DK02,70.0
a,0,DK03,70.0
a,0,DK04,70.0
