scenario,time,node,exportPriceCarrier
a,0,AL01,50.0
a,0,ALO2,50.0
a,0,ALO3,50.0
a,0,AT11,50.0
a,0,AT12,50.0
a,0,AT13,50.0
a,0,AT21,50.0
a,0,AT22,50.0
a,0,AT31,50.0
a,0,AT32,50.0
a,0,AT33,50.0
a,0,AT34,50.0
a,0,BE10,50.0
a,0,BE21,50.0
a,0,BE22,50.0
a,0,BE23,50.0
a,0,BE24,50.0
a,0,BE25,50.0
a,0,BE31,50.0
a,0,BE32,50.0
a,0,BE33,50.0
a,0,BE34,50.0
a,0,BE35,50.0
a,0,BG31,50.0
a,0,BG32,50.0
a,0,BG33,50.0
a,0,BG34,50.0
a,0,BG41,50.0
a,0,BG42,50.0
a,0,CH04,50.0
a,0,CH05,50.0
a,0,CH06,50.0
a,0,CH07,50.0
a,0,CHO1,50.0
a,0,CHO2,50.0
a,0,CHO3,50.0
a,0,CYOO,50.0
a,0,CZ01,50.0
a,0,CZ02,50.0
a,0,CZ03,50.0
a,0,CZ04,50.0
a,0,CZ06,50.0
a,0,CZ07,50.0
a,0,CZ08,50.0
a,0,CZO,50.0
a,0,DE11,50.0
a,0,DE12,50.0
a,0,DE13,50.0
a,0,DE14,50.0
a,0,DE21,50.0
a,0,DE22,50.0
a,0,DE23,50.0
a,0,DE24,50.0
a,0,DE25,50.0
a,0,DE26,50.0
a,0,DE27,50.0
a,0,DE30,50.0
a,0,DE40,50.0
a,0,DE50,50.0
a,0,DE60,50.0
a,0,DE71,50.0
a,0,DE72,50.0
a,0,DE73,50.0
a,0,DE80,50.0
a,0,DE91,50.0
a,0,DE92,50.0
a,0,DE93,50.0
a,0,DE94,50.0
a,0,DEA1,50.0
a,0,DEA2,50.0
a,0,DEA3,50.0
a,0,DEA4,50.0
a,0,DEA5,50.0
a,0,DEB1,50.0
a,0,DEB2,50.0
a,0,DEB3,50.0
a,0,DECO,50.0
a,0,DED2,50.0
a,0,DED4,50.0
a,0,DED5,50.0
a,0,DEEO,50.0
a,0,DEFO,50.0
a,0,DEGO,50.0
a,0,DK01,50.0
a,0,DK02,50.0
a,0,DK03,50.0
a,0,DK04,50.0
a,0,DK05,50.0
a,0,EE00,50.0
a,0,EL30,50.0
a,0,EL41,50.0
a,0,EL42,50.0
a,0,EL43,50.0
a,0,EL51,50.0
a,0,EL52,50.0
a,0,EL53,50.0
a,0,EL54,50.0
a,0,EL61,50.0
a,0,EL62,50.0
a,0,EL63,50.0
a,0,EL64,50.0
a,0,EL65,50.0
a,0,ES11,50.0
a,0,ES12,50.0
a,0,ES13,50.0
a,0,ES21,50.0
a,0,ES22,50.0
a,0,ES23,50.0
a,0,ES24,50.0
a,0,ES30,50.0
a,0,ES41,50.0
a,0,ES42,50.0
a,0,ES43,50.0
a,0,ES51,50.0
a,0,ES52,50.0
a,0,ES53,50.0
