scenario,time,node,demandCarrier
a,0,AL01,0.0
a,0,ALO2,0.0
a,0,ALO3,0.0
a,0,AT11,0.0
a,0,AT12,985.125
a,0,AT13,0.0
a,0,AT21,0.0
a,0,AT22,0.0
a,0,AT31,3045.5625
a,0,AT32,0.0
a,0,AT33,0.0
a,0,AT34,0.0
a,0,BE10,0.0
a,0,BE21,6847.3125
a,0,BE22,0.0
a,0,BE23,0.0
a,0,BE24,0.0
a,0,BE25,0.0
a,0,BE31,0.0
a,0,BE32,2913.75
a,0,BE33,1234.875
a,0,BE34,0.0
a,0,BE35,0.0
a,0,BG31,0.0
a,0,BG32,2650.125
a,0,BG33,1234.875
a,0,BG34,319.125
a,0,BG41,0.0
a,0,BG42,1942.5
a,0,CH04,0.0
a,0,CH05,0.0
a,0,CH06,0.0
a,0,CH07,0.0
a,0,CHO1,0.0
a,0,CHO2,0.0
a,0,CHO3,0.0
a,0,CYOO,0.0
a,0,CZ01,0.0
a,0,CZ02,263.625
a,0,CZ03,0.0
a,0,CZ04,2851.3125
a,0,CZ06,0.0
a,0,CZ07,0.0
a,0,CZ08,159.5625
a,0,CZO,0.0
a,0,DE11,0.0
a,0,DE12,0.0
a,0,DE13,83.25
a,0,DE14,0.0
a,0,DE21,3753.1875
a,0,DE22,0.0
a,0,DE23,0.0
a,0,DE24,0.0
a,0,DE25,0.0
a,0,DE26,0.0
a,0,DE27,0.0
a,0,DE30,0.0
a,0,DE40,1373.625
a,0,DE50,13.875
a,0,DE60,943.5
a,0,DE71,1422.1875
a,0,DE72,0.0
a,0,DE73,0.0
a,0,DE80,0.0
a,0,DE91,0.0
a,0,DE92,0.0
a,0,DE93,589.6875
a,0,DE94,4329.0
a,0,DEA1,0.0
a,0,DEA2,5501.4375
a,0,DEA3,5841.375
a,0,DEA4,6.9375
a,0,DEA5,0.0
a,0,DEB1,6.9375
a,0,DEB2,0.0
a,0,DEB3,5189.25
a,0,DECO,0.0
a,0,DED2,506.4375
a,0,DED4,0.0
a,0,DED5,34.6875
a,0,DEEO,14110.875
a,0,DEFO,4648.125
a,0,DEGO,20.8125
a,0,DK01,6.9375
a,0,DK02,520.3125
a,0,DK03,0.0
a,0,DK04,0.0
a,0,DK05,0.0
a,0,EE00,971.25
a,0,EL30,548.0625
a,0,EL41,0.0
a,0,EL42,0.0
a,0,EL43,1179.375
a,0,EL51,881.0625
a,0,EL52,0.0
a,0,EL53,0.0
a,0,EL54,0.0
a,0,EL61,0.0
a,0,EL62,0.0
a,0,EL63,0.0
a,0,EL64,0.0
a,0,EL65,159.5625
a,0,ES11,0.0
a,0,ES12,0.0
a,0,ES13,0.0
a,0,ES21,0.0
a,0,ES22,0.0
a,0,ES23,0.0
a,0,ES24,90.1875
a,0,ES30,0.0
a,0,ES41,0.0
a,0,ES42,0.0
a,0,ES43,2934.5625
a,0,ES51,367.6875
a,0,ES52,659.0625
a,0,ES53,0.0
a,0,ES61,3316.125
a,0,ES62,423.1875
a,0,ES63,0.0
a,0,ES64,0.0
a,0,ES70,0.0
a,0,F119,62.4375
a,0,FI1B,3642.1875
