scenario,time,node,importPriceCarrier
a,0,AL01,60.0
a,0,ALO2,60.0
a,0,ALO3,60.0
a,0,AT11,60.0
a,0,AT12,60.0
a,0,AT13,60.0
a,0,AT21,60.0
a,0,AT22,60.0
a,0,AT31,60.0
a,0,AT32,60.0
a,0,AT33,60.0
a,0,AT34,60.0
a,0,BE10,60.0
a,0,BE21,60.0
a,0,BE22,60.0
a,0,BE23,60.0
a,0,BE24,60.0
a,0,BE25,60.0
a,0,BE31,60.0
a,0,BE32,60.0
a,0,BE33,60.0
a,0,BE34,60.0
a,0,BE35,60.0
a,0,BG31,60.0
a,0,BG32,60.0
a,0,BG33,60.0
a,0,BG34,60.0
a,0,BG41,60.0
a,0,BG42,60.0
a,0,CH04,60.0
a,0,CH05,60.0
a,0,CH06,60.0
a,0,CH07,60.0
a,0,CHO1,60.0
a,0,CHO2,60.0
a,0,CHO3,60.0
a,0,CYOO,60.0
a,0,CZ01,60.0
a,0,CZ02,60.0
a,0,CZ03,60.0
a,0,CZ04,60.0
a,0,CZ06,60.0
a,0,CZ07,60.0
a,0,CZ08,60.0
a,0,CZO,60.0
a,0,DE11,60.0
a,0,DE12,60.0
a,0,DE13,60.0
a,0,DE14,60.0
a,0,DE21,60.0
a,0,DE22,60.0
a,0,DE23,60.0
a,0,DE24,60.0
a,0,DE25,60.0
a,0,DE26,60.0
a,0,DE27,60.0
a,0,DE30,60.0
a,0,DE40,60.0
a,0,DE50,60.0
a,0,DE60,60.0
a,0,DE71,60.0
a,0,DE72,60.0
a,0,DE73,60.0
a,0,DE80,60.0
a,0,DE91,60.0
a,0,DE92,60.0
a,0,DE93,60.0
a,0,DE94,60.0
a,0,DEA1,60.0
a,0,DEA2,60.0
a,0,DEA3,60.0
a,0,DEA4,60.0
a,0,DEA5,60.0
a,0,DEB1,60.0
a,0,DEB2,60.0
a,0,DEB3,60.0
a,0,DECO,60.0
a,0,DED2,60.0
a,0,DED4,60.0
a,0,DED5,60.0
a,0,DEEO,60.0
a,0,DEFO,60.0
a,0,DEGO,60.0
a,0,DK01,60.0
a,0,DK02,60.0
a,0,DK03,60.0
a,0,DK04,60.0
a,0,DK05,60.0
a,0,EE00,60.0
a,0,EL30,60.0
a,0,EL41,60.0
a,0,EL42,60.0
a,0,EL43,60.0
a,0,EL51,60.0
a,0,EL52,60.0
a,0,EL53,60.0
a,0,EL54,60.0
a,0,EL61,60.0
a,0,EL62,60.0
a,0,EL63,60.0
a,0,EL64,60.0
a,0,EL65,60.0
a,0,ES11,60.0
a,0,ES12,60.0
a,0,ES13,60.0
a,0,ES21,60.0
a,0,ES22,60.0
a,0,ES23,60.0
a,0,ES24,60.0
a,0,ES30,60.0
a,0,ES41,60.0
a,0,ES42,60.0
a,0,ES43,60.0
a,0,ES51,60.0
a,0,ES52,60.0
a,0,ES53,60.0
a,0,ES61,60.0
a,0,ES62,60.0
a,0,ES63,60.0
a,0,ES64,60.0
a,0,ES70,60.0
a,0,F119,60.0
a,0,FI1B,60.0
a,0,FI1C,60.0
a,0,FI1D,60.0
a,0,FI20,60.0
a,0,FR10,60.0
a,0,FRBO,60.0
a,0,FRC1,60.0
a,0,FRC2,60.0
a,0,FRD1,60.0
a,0,FRD2,60.0
a,0,FRE1,60.0
a,0,FRE2,60.0
a,0,FRF1,60.0
a,0,FRF2,60.0
a,0,FRF3,60.0
a,0,FRGO,60.0
a,0,FRHO,60.0
a,0,FRI1,60.0
a,0,FRI2,60.0
a,0,FRI3,60.0
a,0,FRJ1,60.0
a,0,FRJ2,60.0
a,0,FRK1,60.0
a,0,FRK2,60.0
a,0,FRLO,60.0
a,0,FRMO,60.0
a,0,FRY1,60.0
a,0,FRY2,60.0
a,0,FRY3,60.0
a,0,FRY4,60.0
a,0,FRY5,60.0
a,0,HR04,60.0
a,0,HRO3,60.0
a,0,HU11,60.0
