scenario,time,node,demandCarrier
a,0,AL01,0
a,0,ALO2,0
a,0,ALO3,0
a,0,AT11,0
a,0,AT12,0
a,0,AT13,0
a,0,AT21,0
a,0,AT22,0
a,0,AT31,0
a,0,AT32,0
a,0,AT33,0
a,0,AT34,0
a,0,BE10,0
a,0,BE21,0
a,0,BE22,0
a,0,BE23,0
a,0,BE24,0
a,0,BE25,0
a,0,BE31,0
a,0,BE32,0
a,0,BE33,0
a,0,BE34,0
a,0,BE35,0
a,0,BG31,0
a,0,BG32,0
a,0,BG33,0
a,0,BG34,0
a,0,BG41,0
a,0,BG42,0
a,0,CH04,0
a,0,CH05,0
a,0,CH06,0
a,0,CH07,0
a,0,CHO1,0
a,0,CHO2,0
a,0,CHO3,0
a,0,CYOO,0
a,0,CZ01,0
a,0,CZ02,0
a,0,CZ03,0
a,0,CZ04,0
a,0,CZ06,0
a,0,CZ07,0
a,0,CZ08,0
a,0,CZO,0
a,0,DE11,0
a,0,DE12,0
a,0,DE13,0
a,0,DE14,0
a,0,DE21,0
a,0,DE22,0
a,0,DE23,0
a,0,DE24,0
a,0,DE25,0
a,0,DE26,0
a,0,DE27,0
a,0,DE30,0
a,0,DE40,0
a,0,DE50,0
a,0,DE60,0
a,0,DE71,0
a,0,DE72,0
a,0,DE73,0
a,0,DE80,0
a,0,DE91,0
a,0,DE92,0
a,0,DE93,0
a,0,DE94,0
a,0,DEA1,0
a,0,DEA2,0
a,0,DEA3,0
a,0,DEA4,0
a,0,DEA5,0
a,0,DEB1,0
a,0,DEB2,0
a,0,DEB3,0
a,0,DECO,0
a,0,DED2,0
a,0,DED4,0
a,0,DED5,0
a,0,DEEO,0
a,0,DEFO,0
a,0,DEGO,0
a,0,DK01,0
a,0,DK02,0
a,0,DK03,0
a,0,DK04,0
a,0,DK05,0
a,0,EE00,0
a,0,EL30,0
a,0,EL41,0
a,0,EL42,0
a,0,EL43,0
a,0,EL51,0
a,0,EL52,0
a,0,EL53,0
a,0,EL54,0
a,0,EL61,0
a,0,EL62,0
a,0,EL63,0
a,0,EL64,0
a,0,EL65,0
a,0,ES11,0
a,0,ES12,0
a,0,ES13,0
a,0,ES21,0
a,0,ES22,0
a,0,ES23,0
a,0,ES24,0
a,0,ES30,0
a,0,ES41,0
a,0,ES42,0
a,0,ES43,0
a,0,ES51,0
a,0,ES52,0
a,0,ES53,0
a,0,ES61,0
a,0,ES62,0
a,0,ES63,0
a,0,ES64,0
a,0,ES70,0
a,0,F119,0
a,0,FI1B,0
a,0,FI1C,0
a,0,FI1D,0
a,0,FI20,0
a,0,FR10,0
a,0,FRBO,0
a,0,FRC1,0
a,0,FRC2,0
a,0,FRD1,0
a,0,FRD2,0
a,0,FRE1,0
a,0,FRE2,0
a,0,FRF1,0
a,0,FRF2,0
a,0,FRF3,0
a,0,FRGO,0
a,0,FRHO,0
a,0,FRI1,0
a,0,FRI2,0
a,0,FRI3,0
a,0,FRJ1,0
a,0,FRJ2,0
a,0,FRK1,0
a,0,FRK2,0
a,0,FRLO,0
a,0,FRMO,0
a,0,FRY1,0
a,0,FRY2,0
a,0,FRY3,0
a,0,FRY4,0
a,0,FRY5,0
a,0,HR04,0
a,0,HRO3,0
a,0,HU11,0
a,0,HU12,0
a,0,HU21,0
a,0,HU22,0
a,0,HU23,0
a,0,HU31,0
a,0,HU32,0
a,0,HU33,0
a,0,IE04,0
a,0,IE05,0
a,0,IE06,0
a,0,ISOO,0
a,0,IT13,0
a,0,IT14,0
a,0,ITC1,0
a,0,ITC2,0
a,0,ITC3,0
a,0,ITC4,0
a,0,ITF1,0
a,0,ITF2,0
a,0,ITF3,0
a,0,ITF4,0
a,0,ITF5,0
a,0,ITF6,0
a,0,ITG1,0
a,0,ITG2,0
a,0,ITH1,0
a,0,ITH2,0
a,0,ITH3,0
a,0,ITH4,0
a,0,ITH5,0
a,0,ITI1,0
a,0,ITI2,0
a,0,LIOO,0
a,0,LT01,0
a,0,LTO2,0
a,0,LUOO,0
a,0,LVOO,0
a,0,ME00,0
a,0,MKOO,0
a,0,MTOO,0
a,0,NL11,0
a,0,NL12,0
a,0,NL13,0
a,0,NL21,0
a,0,NL22,0
a,0,NL23,0
a,0,NL31,0
a,0,NL32,0
a,0,NL33,0
a,0,NL34,0
a,0,NL41,0
a,0,NL42,0
a,0,NO01,0
a,0,NO03,0
a,0,NO04,0
a,0,NO05,0
a,0,NO06,0
a,0,NO07,0
a,0,NOO2,0
a,0,PL21,0
a,0,PL22,0
a,0,PL41,0
a,0,PL42,0
a,0,PL43,0
a,0,PL51,0
a,0,PL52,0
a,0,PL61,0
a,0,PL62,0
a,0,PL63,0
a,0,PL71,0
a,0,PL72,0
a,0,PL81,0
a,0,PL82,0
a,0,PL84,0
a,0,PL91,0
a,0,PL92,0
a,0,PT11,0
a,0,PT15,0
a,0,PT16,0
a,0,PT17,0
a,0,PT18,0
a,0,PT20,0
a,0,PT30,0
a,0,R042,0
a,0,RO11,0
a,0,RO12,0
a,0,RO21,0
a,0,RO22,0
a,0,RO31,0
a,0,RO32,0
a,0,RO41,0
a,0,RS11,0
a,0,RS12,0
a,0,RS21,0
a,0,RS22,0
a,0,SE11,0
a,0,SE12,0
a,0,SE21,0
a,0,SE22,0
a,0,SE23,0
a,0,SE31,0
a,0,SE32,0
a,0,SE33,0
a,0,SI03,0
a,0,SI04,0
a,0,SK01,0
a,0,SK03,0
a,0,SK04,0
a,0,SKO2,0
a,0,UK13,0
a,0,UKC1,0
a,0,UKC2,0
a,0,UKD1,0
a,0,UKD3,0
a,0,UKD4,0
a,0,UKD6,0
a,0,UKD7,0
a,0,UKE1,0
a,0,UKE2,0
a,0,UKE3,0
a,0,UKE4,0
a,0,UKF1,0
a,0,UKF2,0
a,0,UKF3,0
a,0,UKG1,0
a,0,UKG2,0
a,0,UKG3,0
a,0,UKH1,0
a,0,UKH2,0
a,0,UKH3,0
a,0,UKI4,0
a,0,UKI6,0
a,0,UKIS,0
a,0,UKIZ,0
a,0,UKJ1,0
a,0,UKJ2,0
a,0,UKJ3,0
a,0,UKJ4,0
a,0,UKK1,0
a,0,UKK2,0
a,0,UKK3,0
a,0,UKK4,0
a,0,UKL1,0
a,0,UKL2,0
a,0,UKM5,0
a,0,UKM6,0
a,0,UKM7,0
a,0,UKM8,0
a,0,UKM9,0
a,0,UKNO,0
