scenario,time,node,demandCarrier
a,1,AT,4023.75
a,1,BE,11030.624999999998
a,1,BG,6174.374999999999
a,1,CH,0.0
a,1,CY,0.0
a,1,CZ,3260.6249999999995
a,1,DE,48354.375
a,1,DK,554.9999999999999
a,1,EE,971.25
a,1,EL,2774.9999999999995
a,1,ES,7769.999999999999
a,1,FI,3676.875
a,1,FR,11724.374999999998
a,1,HR,2636.2499999999995
a,1,HU,3885.0
a,1,IE,0.0
a,1,IT,15678.75
a,1,LT,4439.999999999999
a,1,LU,0.0
a,1,LV,0.0
a,1,ME,0.0
a,1,MK,0.0
a,1,MT,0.0
a,1,NL,27611.25
a,1,NO,0.0
a,1,PL,17621.25
a,1,PT,1942.5
a,1,RO,9226.875
a,1,RS,0.0
a,1,SE,2081.25
a,1,SI,0.0
a,1,SK,3121.8749999999995
a,1,UK,12764.999999999998
