scenario,time,node,demandCarrier
a,1,AL01,0
a,1,ALO2,0
a,1,ALO3,0
a,1,AT11,0
a,1,DEEO,0
a,1,AT13,0
a,1,AT21,0
a,1,AT22,0
a,1,NL34,0
a,1,AT32,0
a,1,AT33,0
a,1,AT34,0
a,1,BE10,0
a,1,BE21,0
a,1,BE22,0
a,1,BE23,0
a,1,BE24,0
a,1,BE25,0
a,1,BE31,0
a,1,PL81,0
a,1,NL42,0
a,1,BE34,0
a,1,BE35,0
a,1,BG31,0
a,1,ITG1,0
a,1,DEA3,0
a,1,DEA2,0
a,1,BG41,0
a,1,DEB3,0
a,1,CHO1,0
a,1,CHO2,0
a,1,CHO3,0
a,1,CH04,0
a,1,CH05,0
a,1,CH06,0
a,1,CH07,0
a,1,CYOO,0
a,1,CZ01,0
a,1,DEFO,0
a,1,CZ03,0
a,1,UKD1,0
a,1,CZO,0
a,1,CZ06,0
a,1,CZ07,0
a,1,LTO2,0
a,1,DE11,0
a,1,DE12,0
a,1,DE94,0
a,1,DE14,0
a,1,FRD2,0
a,1,DE22,0
a,1,DE23,0
a,1,DE24,0
a,1,DE25,0
a,1,DE26,0
a,1,DE27,0
a,1,DE30,0
a,1,RO31,0
a,1,DE21,0
a,1,NL33,0
a,1,NL11,0
a,1,DE72,0
a,1,DE73,0
a,1,DE80,0
a,1,DE91,0
a,1,DE92,0
a,1,ITH5,0
a,1,FI1B,0
a,1,DEA1,0
a,1,RO12,0
a,1,ES61,0
a,1,PL42,0
a,1,DEA5,0
a,1,AT31,0
a,1,DEB2,0
a,1,PL61,0
a,1,DECO,0
a,1,ES43,0
a,1,DED4,0
a,1,BE32,0
a,1,CZ04,0
a,1,HU21,0
a,1,BG32,0
a,1,HR04,0
a,1,PL52,0
a,1,DK03,0
a,1,DK04,0
a,1,DK05,0
a,1,FR10,0
a,1,UKL2,0
a,1,EL41,0
a,1,EL42,0
a,1,FRLO,0
a,1,SKO2,0
a,1,EL52,0
a,1,EL53,0
a,1,EL54,0
a,1,EL61,0
a,1,EL62,0
a,1,EL63,0
a,1,EL64,0
a,1,FRF1,0
a,1,ES11,0
a,1,ES12,0
a,1,ES13,0
a,1,ES21,0
a,1,ES22,0
a,1,ES23,0
a,1,BG42,0
a,1,ES30,0
a,1,ES41,0
a,1,ES42,0
a,1,RO21,0
a,1,ITC4,0
a,1,PL21,0
a,1,ES53,0
a,1,PT18,0
a,1,SE23,0
a,1,ES63,0
a,1,ES64,0
a,1,ES70,0
a,1,UKF3,0
