scenario,time,node,availabilityCarrier
a,1,AL01,7459560.926
a,1,ALO2,0.0
a,1,ALO3,0.0
a,1,AT11,10973554.06
a,1,DEEO,0.0
a,1,AT13,28044908.44
a,1,AT21,15421604.13
a,1,AT22,34252583.22
a,1,NL34,11881118.72
a,1,AT32,12899679.82
a,1,AT33,16279126.09
a,1,AT34,7696821.634999999
a,1,BE10,9388567.356
a,1,BE21,32955984.040000003
a,1,BE22,15653760.02
a,1,BE23,28848026.78
a,1,BE24,15845395.44
a,1,BE25,47220942.44
a,1,BE31,8006812.158
a,1,PL81,52960549.2
a,1,NL42,39041017.370000005
a,1,BE34,11162184.73
a,1,BE35,16066300.11
a,1,BG31,23908397.29
a,1,ITG1,60777380.36
a,1,DEA3,85873341.24
a,1,DEA2,59298450.13
a,1,BG41,5037147.641
a,1,DEB3,33852337.099999994
a,1,CHO1,0.0
a,1,CHO2,0.0
a,1,CHO3,0.0
a,1,CH04,23005887.93
a,1,CH05,28948135.5
a,1,CH06,21048837.33
a,1,CH07,5277090.375
a,1,CYOO,0.0
a,1,CZ01,2093202.655
a,1,DEFO,0.0
a,1,CZ03,33878698.3
a,1,UKD1,23652919.91
a,1,CZO,0.0
a,1,CZ06,35786924.87
a,1,CZ07,17899124.75
a,1,LTO2,0.0
a,1,DE11,70845863.02999999
a,1,DE12,38941456.25
a,1,DE94,129539373.4
a,1,DE14,43648560.510000005
a,1,FRD2,66705078.35
a,1,DE22,57280197.65
a,1,DE23,32098794.14
a,1,DE24,25904170.63
a,1,DE25,40129227.22
a,1,DE26,36058102.93
a,1,DE27,49997114.97
a,1,DE30,31446810.55
a,1,RO31,79558359.85
a,1,DE21,86773094.01
a,1,NL33,55722610.23
a,1,NL11,23272202.93
a,1,DE72,20864008.34
a,1,DE73,33340618.03
a,1,DE80,96807453.69
a,1,DE91,47305033.57
a,1,DE92,66704780.09
a,1,ITH5,116422787.4
a,1,FI1B,12721985.8
a,1,DEA1,65649600.38999999
a,1,RO12,31077373.92
a,1,ES61,152978672.7
a,1,PL42,42130068.68
a,1,DEA5,53044379.36
a,1,AT31,45685351.82
a,1,DEB2,12197024.38
a,1,PL61,62669151.27
a,1,DECO,0.0
a,1,ES43,62832929.52000001
a,1,DED4,38373999.54
a,1,BE32,27579860.33
a,1,CZ04,10641083.23
a,1,HU21,33075346.95
a,1,BG32,22895771.14
a,1,HR04,0.0
a,1,PL52,34650631.989999995
a,1,DK03,96129756.69
a,1,DK04,92837638.16
a,1,DK05,56911420.46
a,1,FR10,137091236.29999998
a,1,UKL2,28181540.23
a,1,EL41,2156613.832
a,1,EL42,1909710.011
a,1,FRLO,0.0
a,1,SKO2,0.0
a,1,EL52,32593568.220000003
a,1,EL53,7422207.153
a,1,EL54,10384496.69
a,1,EL61,21135237.67
a,1,EL62,1161893.497
a,1,EL63,12328713.88
a,1,EL64,9870649.007
a,1,FRF1,27176818.010000005
a,1,ES11,56597858.95
a,1,ES12,15578476.930000002
a,1,ES13,9498272.873
a,1,ES21,21671801.0
a,1,ES22,24654216.78
a,1,ES23,8395177.911
a,1,BG42,19626760.89
a,1,ES30,52339997.26
a,1,ES41,206865384.8
a,1,ES42,126514385.4
a,1,RO21,42902146.84
a,1,ITC4,222783532.8
a,1,PL21,29065883.59
a,1,ES53,10787476.09
a,1,PT18,38869673.06
a,1,SE23,33767978.0
a,1,ES63,381638.5195
a,1,ES64,608639.5676
a,1,ES70,0.0
a,1,UKF3,49482408.63
a,1,UKM7,47273450.46
a,1,FI1C,34832443.42
a,1,FI1D,20673092.94
a,1,FI20,392144.7777
a,1,UKK2,31655071.73
a,1,FRBO,0.0
a,1,DE71,50962354.81
a,1,FRC2,44146829.85
a,1,FRD1,91073840.12
a,1,DE40,99401602.75
a,1,ITG2,33060408.23
a,1,FRE2,91147296.37
a,1,BE33,22573392.27
a,1,FRF2,108822773.8
a,1,FRF3,83973964.64999999
a,1,FRGO,0.0
a,1,FRHO,0.0
a,1,BG33,19148247.9
a,1,FRI2,31984469.06
a,1,FRI3,123558118.8
a,1,FRJ1,41661956.39
a,1,FRJ2,123152986.3
a,1,FRK1,61209058.13
a,1,UKE4,20600067.78
a,1,EL43,8289256.589000001
a,1,FRMO,0.0
a,1,FRY1,0.0
a,1,FRY2,0.0
a,1,FRY3,0.0
a,1,FRY4,0.0
a,1,FRY5,0.0
a,1,HRO3,0.0
a,1,ITF4,57547836.18
a,1,HU11,4360313.387
a,1,HU12,16264663.9
a,1,SK01,7827131.670000002
a,1,HU22,19654953.61
a,1,HU23,38132107.04
a,1,AT12,65289817.66
a,1,HU32,61800599.460000016
a,1,HU33,67117243.28999999
a,1,IE04,45034540.31
a,1,IE05,97863476.91
a,1,EE00,20753206.48
a,1,ISOO,0.0
a,1,DE60,16746115.239999998
a,1,ITC2,2143029.239
a,1,ITC3,10729144.98
a,1,EL51,19027067.46
a,1,ITH3,118795020.5
a,1,ITF2,9730146.814
a,1,NL41,93290753.48
a,1,FRK2,110541003.1
a,1,IT13,0.0
a,1,ITF6,21142561.39
a,1,ES52,51605364.92
a,1,DE93,79009530.50999999
a,1,ITH1,8215593.543
a,1,ITH2,6142963.657000001
a,1,EL30,2813910.785
a,1,ITH4,23329986.46
a,1,DK02,50347348.68
a,1,ITI1,44175551.51000001
a,1,DED2,40056381.48
a,1,ES62,26063582.15
a,1,IT14,0.0
a,1,LIOO,0.0
a,1,LT01,9283582.762
a,1,ES51,143901760.79999998
a,1,LUOO,0.0
a,1,LVOO,0.0
a,1,ME00,2508562.832
a,1,MKOO,0.0
a,1,MTOO,0.0
a,1,BG34,26677893.89
a,1,NL12,34502694.230000004
a,1,NL13,20166761.22
a,1,NL21,48768691.88
a,1,NL22,71941890.58999999
a,1,NL23,11397068.079999998
a,1,NL31,25888003.92
a,1,NL32,42373855.610000014
a,1,CZ02,27467229.28
a,1,PT16,36290385.82
a,1,CZ08,8293591.868000002
a,1,EL65,5027467.5370000005
a,1,NO01,0.0
a,1,NOO2,0.0
a,1,NO03,0.0
a,1,NO04,0.0
a,1,NO05,0.0
a,1,NO06,8995006.491
a,1,NO07,3765575.644
a,1,ITC1,86349385.42
a,1,PL22,30766454.83
a,1,PL41,121849089.0
a,1,SE32,2421994.728
a,1,PL43,19955564.03
a,1,FRE1,97466975.37
a,1,SE11,16171146.06
a,1,PL92,79150179.51
a,1,PL62,42361053.66000001
a,1,PL63,36200189.64
a,1,PL71,51324169.46000001
a,1,PL72,22159519.33000001
a,1,SE22,47967384.080000006
a,1,HU31,19565498.42
a,1,PL84,36209866.83
a,1,PL91,18599145.93
a,1,ES24,96595044.82
a,1,PT11,31067484.69
a,1,PT15,3019408.379
a,1,PL51,55874602.49
a,1,PT17,19309121.59
a,1,DE13,34096904.64
a,1,PT20,0.0
a,1,PT30,0.0
a,1,RO11,39409065.22
a,1,F119,0.0
a,1,UKD3,20957424.81
a,1,RO22,63728837.52000001
a,1,FRI1,79524199.57000001
a,1,RO32,4494988.702000001
a,1,RO41,47418936.89
a,1,R042,0.0
a,1,RS11,4943628.06
a,1,RS12,60130660.63
a,1,RS21,30338880.49
a,1,RS22,21894439.31
a,1,DED5,27971624.63
a,1,SE12,39845571.1
a,1,SE21,20645725.11
a,1,UKC2,22809098.18
a,1,UKL1,41355273.54
a,1,SE31,7521608.662999999
a,1,ITF5,17817721.46
a,1,SE33,3440295.718
a,1,ITI2,21224506.44
a,1,SI04,7138770.653000002
a,1,PL82,21593628.49
a,1,FRC1,104480746.4
a,1,SK03,13885283.0
a,1,SK04,14591215.83
a,1,DEGO,0.0
a,1,UKC1,18772912.45
a,1,DE50,6618608.217
a,1,UKD4,22208338.69
a,1,UKH3,27381625.87
a,1,UKD6,16857995.96
a,1,UKD7,11288693.09
a,1,UKE1,28766359.02
a,1,UKE2,49142572.13999999
a,1,UKE3,13783853.08
a,1,UKM8,11240480.73
a,1,UKF1,34760042.739999995
a,1,UKF2,37989568.28
a,1,SI03,17395489.03
a,1,UKG1,41259610.79
a,1,UKG2,39456106.67
a,1,UKG3,20448823.51
a,1,UKH1,100985605.0
a,1,UKH2,22872551.01
a,1,DEA4,52148117.18
a,1,UK13,0.0
a,1,UKI4,15866425.22
a,1,UKIS,0.0
a,1,UKI6,8953708.908
a,1,UKIZ,0.0
a,1,UKJ1,45879329.06
a,1,UKJ2,27585911.78
a,1,UKJ3,27141860.81
a,1,UKJ4,20349646.86
a,1,UKK1,44621438.65
a,1,DEB1,26836883.65
a,1,UKK3,15710215.35
a,1,UKK4,30092124.92
a,1,DK01,26104124.76
a,1,ITF3,66292130.47999999
a,1,UKM5,22114987.47
a,1,UKM6,15934334.489999998
a,1,ITF1,19563624.970000003
a,1,IE06,37563827.78
a,1,UKM9,37442141.7
a,1,UKNO,0.0
