scenario,time,node,importPriceCarrier
a,1,AL01,70.0
a,1,ALO2,70.0
a,1,ALO3,70.0
a,1,AT11,70.0
a,1,DEEO,70.0
a,1,AT13,70.0
a,1,AT21,70.0
a,1,AT22,70.0
a,1,NL34,70.0
a,1,AT32,70.0
a,1,AT33,70.0
a,1,AT34,70.0
a,1,BE10,70.0
a,1,BE21,70.0
a,1,BE22,70.0
a,1,BE23,70.0
a,1,BE24,70.0
a,1,BE25,70.0
a,1,BE31,70.0
a,1,PL81,70.0
a,1,NL42,70.0
a,1,BE34,70.0
a,1,BE35,70.0
a,1,BG31,70.0
a,1,ITG1,70.0
a,1,DEA3,70.0
a,1,DEA2,70.0
a,1,BG41,70.0
a,1,DEB3,70.0
a,1,CHO1,70.0
a,1,CHO2,70.0
a,1,CHO3,70.0
a,1,CH04,70.0
a,1,CH05,70.0
a,1,CH06,70.0
a,1,CH07,70.0
a,1,CYOO,70.0
a,1,CZ01,70.0
a,1,DEFO,70.0
a,1,CZ03,70.0
a,1,UKD1,70.0
a,1,CZO,70.0
a,1,CZ06,70.0
a,1,CZ07,70.0
a,1,LTO2,70.0
a,1,DE11,70.0
a,1,DE12,70.0
a,1,DE94,70.0
a,1,DE14,70.0
a,1,FRD2,70.0
a,1,DE22,70.0
a,1,DE23,70.0
a,1,DE24,70.0
a,1,DE25,70.0
a,1,DE26,70.0
a,1,DE27,70.0
a,1,DE30,70.0
a,1,RO31,70.0
a,1,DE21,70.0
a,1,NL33,70.0
a,1,NL11,70.0
a,1,DE72,70.0
a,1,DE73,70.0
a,1,DE80,70.0
a,1,DE91,70.0
a,1,DE92,70.0
a,1,ITH5,70.0
a,1,FI1B,70.0
a,1,DEA1,70.0
a,1,RO12,70.0
a,1,ES61,70.0
a,1,PL42,70.0
a,1,DEA5,70.0
a,1,AT31,70.0
a,1,DEB2,70.0
a,1,PL61,70.0
a,1,DECO,70.0
a,1,ES43,70.0
a,1,DED4,70.0
a,1,BE32,70.0
a,1,CZ04,70.0
a,1,HU21,70.0
a,1,BG32,70.0
a,1,HR04,70.0
a,1,PL52,70.0
a,1,DK03,70.0
a,1,DK04,70.0
a,1,DK05,70.0
a,1,FR10,70.0
a,1,UKL2,70.0
a,1,EL41,70.0
a,1,EL42,70.0
a,1,FRLO,70.0
a,1,SKO2,70.0
a,1,EL52,70.0
a,1,EL53,70.0
a,1,EL54,70.0
a,1,EL61,70.0
a,1,EL62,70.0
a,1,EL63,70.0
a,1,EL64,70.0
a,1,FRF1,70.0
a,1,ES11,70.0
a,1,ES12,70.0
a,1,ES13,70.0
a,1,ES21,70.0
a,1,ES22,70.0
a,1,ES23,70.0
a,1,BG42,70.0
a,1,ES30,70.0
a,1,ES41,70.0
a,1,ES42,70.0
a,1,RO21,70.0
a,1,ITC4,70.0
a,1,PL21,70.0
a,1,ES53,70.0
a,1,PT18,70.0
a,1,SE23,70.0
a,1,ES63,70.0
a,1,ES64,70.0
a,1,ES70,70.0
a,1,UKF3,70.0
a,1,UKM7,70.0
a,1,FI1C,70.0
a,1,FI1D,70.0
a,1,FI20,70.0
a,1,UKK2,70.0
a,1,FRBO,70.0
a,1,DE71,70.0
a,1,FRC2,70.0
a,1,FRD1,70.0
a,1,DE40,70.0
a,1,ITG2,70.0
a,1,FRE2,70.0
a,1,BE33,70.0
a,1,FRF2,70.0
a,1,FRF3,70.0
a,1,FRGO,70.0
a,1,FRHO,70.0
a,1,BG33,70.0
a,1,FRI2,70.0
a,1,FRI3,70.0
a,1,FRJ1,70.0
a,1,FRJ2,70.0
a,1,FRK1,70.0
a,1,UKE4,70.0
a,1,EL43,70.0
a,1,FRMO,70.0
a,1,FRY1,70.0
a,1,FRY2,70.0
a,1,FRY3,70.0
a,1,FRY4,70.0
a,1,FRY5,70.0
a,1,HRO3,70.0
a,1,ITF4,70.0
a,1,HU11,70.0
a,1,HU12,70.0
a,1,SK01,70.0
a,1,HU22,70.0
a,1,HU23,70.0
a,1,AT12,70.0
a,1,HU32,70.0
a,1,HU33,70.0
a,1,IE04,70.0
a,1,IE05,70.0
a,1,EE00,70.0
a,1,ISOO,70.0
a,1,DE60,70.0
a,1,ITC2,70.0
a,1,ITC3,70.0
a,1,EL51,70.0
a,1,ITH3,70.0
a,1,ITF2,70.0
a,1,NL41,70.0
a,1,FRK2,70.0
a,1,IT13,70.0
a,1,ITF6,70.0
a,1,ES52,70.0
a,1,DE93,70.0
a,1,ITH1,70.0
a,1,ITH2,70.0
a,1,EL30,70.0
a,1,ITH4,70.0
a,1,DK02,70.0
a,1,ITI1,70.0
a,1,DED2,70.0
a,1,ES62,70.0
a,1,IT14,70.0
a,1,LIOO,70.0
a,1,LT01,70.0
a,1,ES51,70.0
a,1,LUOO,70.0
a,1,LVOO,70.0
a,1,ME00,70.0
a,1,MKOO,70.0
a,1,MTOO,70.0
a,1,BG34,70.0
a,1,NL12,70.0
a,1,NL13,70.0
a,1,NL21,70.0
a,1,NL22,70.0
a,1,NL23,70.0
a,1,NL31,70.0
a,1,NL32,70.0
a,1,CZ02,70.0
a,1,PT16,70.0
a,1,CZ08,70.0
a,1,EL65,70.0
a,1,NO01,70.0
a,1,NOO2,70.0
a,1,NO03,70.0
a,1,NO04,70.0
a,1,NO05,70.0
a,1,NO06,70.0
a,1,NO07,70.0
a,1,ITC1,70.0
a,1,PL22,70.0
a,1,PL41,70.0
a,1,SE32,70.0
a,1,PL43,70.0
a,1,FRE1,70.0
a,1,SE11,70.0
a,1,PL92,70.0
a,1,PL62,70.0
a,1,PL63,70.0
a,1,PL71,70.0
a,1,PL72,70.0
a,1,SE22,70.0
a,1,HU31,70.0
a,1,PL84,70.0
a,1,PL91,70.0
a,1,ES24,70.0
a,1,PT11,70.0
a,1,PT15,70.0
a,1,PL51,70.0
a,1,PT17,70.0
a,1,DE13,70.0
a,1,PT20,70.0
a,1,PT30,70.0
a,1,RO11,70.0
a,1,F119,70.0
a,1,UKD3,70.0
a,1,RO22,70.0
a,1,FRI1,70.0
a,1,RO32,70.0
a,1,RO41,70.0
a,1,R042,70.0
a,1,RS11,70.0
a,1,RS12,70.0
a,1,RS21,70.0
a,1,RS22,70.0
a,1,DED5,70.0
a,1,SE12,70.0
a,1,SE21,70.0
a,1,UKC2,70.0
a,1,UKL1,70.0
a,1,SE31,70.0
a,1,ITF5,70.0
a,1,SE33,70.0
a,1,ITI2,70.0
a,1,SI04,70.0
a,1,PL82,70.0
a,1,FRC1,70.0
a,1,SK03,70.0
a,1,SK04,70.0
a,1,DEGO,70.0
a,1,UKC1,70.0
a,1,DE50,70.0
a,1,UKD4,70.0
a,1,UKH3,70.0
a,1,UKD6,70.0
a,1,UKD7,70.0
a,1,UKE1,70.0
a,1,UKE2,70.0
a,1,UKE3,70.0
a,1,UKM8,70.0
a,1,UKF1,70.0
a,1,UKF2,70.0
a,1,SI03,70.0
a,1,UKG1,70.0
a,1,UKG2,70.0
a,1,UKG3,70.0
a,1,UKH1,70.0
a,1,UKH2,70.0
a,1,DEA4,70.0
a,1,UK13,70.0
a,1,UKI4,70.0
a,1,UKIS,70.0
a,1,UKI6,70.0
a,1,UKIZ,70.0
a,1,UKJ1,70.0
a,1,UKJ2,70.0
a,1,UKJ3,70.0
a,1,UKJ4,70.0
a,1,UKK1,70.0
a,1,DEB1,70.0
a,1,UKK3,70.0
a,1,UKK4,70.0
a,1,DK01,70.0
a,1,ITF3,70.0
a,1,UKM5,70.0
a,1,UKM6,70.0
a,1,ITF1,70.0
a,1,IE06,70.0
a,1,UKM9,70.0
a,1,UKNO,70.0
