scenario,time,node,exportPriceCarrier
a,1,AL01,50.0
a,1,ALO2,50.0
a,1,ALO3,50.0
a,1,AT11,50.0
a,1,DEEO,50.0
a,1,AT13,50.0
a,1,AT21,50.0
a,1,AT22,50.0
a,1,NL34,50.0
a,1,AT32,50.0
a,1,AT33,50.0
a,1,AT34,50.0
a,1,BE10,50.0
a,1,BE21,50.0
a,1,BE22,50.0
a,1,BE23,50.0
a,1,BE24,50.0
a,1,BE25,50.0
a,1,BE31,50.0
a,1,PL81,50.0
a,1,NL42,50.0
a,1,BE34,50.0
a,1,BE35,50.0
a,1,BG31,50.0
a,1,ITG1,50.0
a,1,DEA3,50.0
a,1,DEA2,50.0
a,1,BG41,50.0
a,1,DEB3,50.0
a,1,CHO1,50.0
a,1,CHO2,50.0
a,1,CHO3,50.0
a,1,CH04,50.0
a,1,CH05,50.0
a,1,CH06,50.0
a,1,CH07,50.0
a,1,CYOO,50.0
a,1,CZ01,50.0
a,1,DEFO,50.0
a,1,CZ03,50.0
a,1,UKD1,50.0
a,1,CZO,50.0
a,1,CZ06,50.0
a,1,CZ07,50.0
a,1,LTO2,50.0
a,1,DE11,50.0
a,1,DE12,50.0
a,1,DE94,50.0
a,1,DE14,50.0
a,1,FRD2,50.0
a,1,DE22,50.0
a,1,DE23,50.0
a,1,DE24,50.0
a,1,DE25,50.0
a,1,DE26,50.0
a,1,DE27,50.0
a,1,DE30,50.0
a,1,RO31,50.0
a,1,DE21,50.0
a,1,NL33,50.0
a,1,NL11,50.0
a,1,DE72,50.0
a,1,DE73,50.0
a,1,DE80,50.0
a,1,DE91,50.0
a,1,DE92,50.0
a,1,ITH5,50.0
a,1,FI1B,50.0
a,1,DEA1,50.0
a,1,RO12,50.0
a,1,ES61,50.0
a,1,PL42,50.0
a,1,DEA5,50.0
a,1,AT31,50.0
a,1,DEB2,50.0
a,1,PL61,50.0
a,1,DECO,50.0
a,1,ES43,50.0
a,1,DED4,50.0
a,1,BE32,50.0
a,1,CZ04,50.0
a,1,HU21,50.0
a,1,BG32,50.0
a,1,HR04,50.0
a,1,PL52,50.0
a,1,DK03,50.0
a,1,DK04,50.0
a,1,DK05,50.0
a,1,FR10,50.0
a,1,UKL2,50.0
a,1,EL41,50.0
a,1,EL42,50.0
a,1,FRLO,50.0
a,1,SKO2,50.0
a,1,EL52,50.0
a,1,EL53,50.0
a,1,EL54,50.0
a,1,EL61,50.0
a,1,EL62,50.0
