scenario,time,node,importPriceCarrier
a,1,AL01,100.0
a,1,ALO2,100.0
a,1,ALO3,100.0
a,1,AT11,100.0
a,1,DEEO,100.0
a,1,AT13,100.0
a,1,AT21,100.0
a,1,AT22,100.0
a,1,NL34,100.0
a,1,AT32,100.0
a,1,AT33,100.0
a,1,AT34,100.0
a,1,BE10,100.0
a,1,BE21,100.0
a,1,BE22,100.0
a,1,BE23,100.0
a,1,BE24,100.0
a,1,BE25,100.0
a,1,BE31,100.0
a,1,PL81,100.0
a,1,NL42,100.0
a,1,BE34,100.0
a,1,BE35,100.0
a,1,BG31,100.0
a,1,ITG1,100.0
a,1,DEA3,100.0
a,1,DEA2,100.0
a,1,BG41,100.0
a,1,DEB3,100.0
a,1,CHO1,100.0
a,1,CHO2,100.0
a,1,CHO3,100.0
a,1,CH04,100.0
a,1,CH05,100.0
a,1,CH06,100.0
a,1,CH07,100.0
a,1,CYOO,100.0
a,1,CZ01,100.0
a,1,DEFO,100.0
a,1,CZ03,100.0
a,1,UKD1,100.0
a,1,CZO,100.0
a,1,CZ06,100.0
a,1,CZ07,100.0
a,1,LTO2,100.0
a,1,DE11,100.0
a,1,DE12,100.0
a,1,DE94,100.0
a,1,DE14,100.0
a,1,FRD2,100.0
a,1,DE22,100.0
a,1,DE23,100.0
a,1,DE24,100.0
a,1,DE25,100.0
a,1,DE26,100.0
a,1,DE27,100.0
a,1,DE30,100.0
a,1,RO31,100.0
a,1,DE21,100.0
a,1,NL33,100.0
a,1,NL11,100.0
a,1,DE72,100.0
a,1,DE73,100.0
a,1,DE80,100.0
a,1,DE91,100.0
a,1,DE92,100.0
a,1,ITH5,100.0
a,1,FI1B,100.0
a,1,DEA1,100.0
a,1,RO12,100.0
a,1,ES61,100.0
a,1,PL42,100.0
a,1,DEA5,100.0
a,1,AT31,100.0
a,1,DEB2,100.0
a,1,PL61,100.0
a,1,DECO,100.0
a,1,ES43,100.0
a,1,DED4,100.0
a,1,BE32,100.0
a,1,CZ04,100.0
a,1,HU21,100.0
a,1,BG32,100.0
a,1,HR04,100.0
a,1,PL52,100.0
a,1,DK03,100.0
a,1,DK04,100.0
a,1,DK05,100.0
a,1,FR10,100.0
a,1,UKL2,100.0
a,1,EL41,100.0
a,1,EL42,100.0
a,1,FRLO,100.0
a,1,SKO2,100.0
a,1,EL52,100.0
a,1,EL53,100.0
a,1,EL54,100.0
a,1,EL61,100.0
a,1,EL62,100.0
a,1,EL63,100.0
a,1,EL64,100.0
a,1,FRF1,100.0
a,1,ES11,100.0
a,1,ES12,100.0
a,1,ES13,100.0
a,1,ES21,100.0
a,1,ES22,100.0
a,1,ES23,100.0
a,1,BG42,100.0
a,1,ES30,100.0
a,1,ES41,100.0
a,1,ES42,100.0
a,1,RO21,100.0
a,1,ITC4,100.0
a,1,PL21,100.0
a,1,ES53,100.0
a,1,PT18,100.0
a,1,SE23,100.0
a,1,ES63,100.0
a,1,ES64,100.0
a,1,ES70,100.0
a,1,UKF3,100.0
a,1,UKM7,100.0
a,1,FI1C,100.0
a,1,FI1D,100.0
a,1,FI20,100.0
a,1,UKK2,100.0
a,1,FRBO,100.0
a,1,DE71,100.0
a,1,FRC2,100.0
a,1,FRD1,100.0
a,1,DE40,100.0
a,1,ITG2,100.0
a,1,FRE2,100.0
a,1,BE33,100.0
a,1,FRF2,100.0
a,1,FRF3,100.0
a,1,FRGO,100.0
a,1,FRHO,100.0
a,1,BG33,100.0
a,1,FRI2,100.0
a,1,FRI3,100.0
a,1,FRJ1,100.0
a,1,FRJ2,100.0
a,1,FRK1,100.0
a,1,UKE4,100.0
a,1,EL43,100.0
a,1,FRMO,100.0
a,1,FRY1,100.0
a,1,FRY2,100.0
a,1,FRY3,100.0
a,1,FRY4,100.0
a,1,FRY5,100.0
a,1,HRO3,100.0
a,1,ITF4,100.0
a,1,HU11,100.0
a,1,HU12,100.0
a,1,SK01,100.0
a,1,HU22,100.0
a,1,HU23,100.0
a,1,AT12,100.0
a,1,HU32,100.0
a,1,HU33,100.0
a,1,IE04,100.0
a,1,IE05,100.0
a,1,EE00,100.0
a,1,ISOO,100.0
a,1,DE60,100.0
a,1,ITC2,100.0
a,1,ITC3,100.0
a,1,EL51,100.0
a,1,ITH3,100.0
a,1,ITF2,100.0
a,1,NL41,100.0
a,1,FRK2,100.0
a,1,IT13,100.0
a,1,ITF6,100.0
a,1,ES52,100.0
a,1,DE93,100.0
a,1,ITH1,100.0
a,1,ITH2,100.0
a,1,EL30,100.0
a,1,ITH4,100.0
a,1,DK02,100.0
a,1,ITI1,100.0
a,1,DED2,100.0
a,1,ES62,100.0
a,1,IT14,100.0
a,1,LIOO,100.0
a,1,LT01,100.0
a,1,ES51,100.0
a,1,LUOO,100.0
a,1,LVOO,100.0
a,1,ME00,100.0
a,1,MKOO,100.0
a,1,MTOO,100.0
a,1,BG34,100.0
a,1,NL12,100.0
a,1,NL13,100.0
a,1,NL21,100.0
a,1,NL22,100.0
a,1,NL23,100.0
a,1,NL31,100.0
a,1,NL32,100.0
a,1,CZ02,100.0
a,1,PT16,100.0
a,1,CZ08,100.0
a,1,EL65,100.0
a,1,NO01,100.0
a,1,NOO2,100.0
a,1,NO03,100.0
a,1,NO04,100.0
a,1,NO05,100.0
a,1,NO06,100.0
a,1,NO07,100.0
a,1,ITC1,100.0
a,1,PL22,100.0
a,1,PL41,100.0
a,1,SE32,100.0
a,1,PL43,100.0
a,1,FRE1,100.0
a,1,SE11,100.0
a,1,PL92,100.0
a,1,PL62,100.0
a,1,PL63,100.0
a,1,PL71,100.0
a,1,PL72,100.0
a,1,SE22,100.0
a,1,HU31,100.0
a,1,PL84,100.0
a,1,PL91,100.0
a,1,ES24,100.0
a,1,PT11,100.0
a,1,PT15,100.0
a,1,PL51,100.0
a,1,PT17,100.0
a,1,DE13,100.0
a,1,PT20,100.0
a,1,PT30,100.0
a,1,RO11,100.0
a,1,F119,100.0
a,1,UKD3,100.0
a,1,RO22,100.0
a,1,FRI1,100.0
a,1,RO32,100.0
a,1,RO41,100.0
a,1,R042,100.0
a,1,RS11,100.0
a,1,RS12,100.0
a,1,RS21,100.0
a,1,RS22,100.0
a,1,DED5,100.0
a,1,SE12,100.0
a,1,SE21,100.0
a,1,UKC2,100.0
a,1,UKL1,100.0
a,1,SE31,100.0
a,1,ITF5,100.0
a,1,SE33,100.0
a,1,ITI2,100.0
a,1,SI04,100.0
a,1,PL82,100.0
a,1,FRC1,100.0
a,1,SK03,100.0
a,1,SK04,100.0
a,1,DEGO,100.0
a,1,UKC1,100.0
a,1,DE50,100.0
a,1,UKD4,100.0
a,1,UKH3,100.0
a,1,UKD6,100.0
a,1,UKD7,100.0
a,1,UKE1,100.0
a,1,UKE2,100.0
a,1,UKE3,100.0
a,1,UKM8,100.0
a,1,UKF1,100.0
a,1,UKF2,100.0
a,1,SI03,100.0
a,1,UKG1,100.0
a,1,UKG2,100.0
a,1,UKG3,100.0
a,1,UKH1,100.0
a,1,UKH2,100.0
a,1,DEA4,100.0
a,1,UK13,100.0
a,1,UKI4,100.0
a,1,UKIS,100.0
a,1,UKI6,100.0
a,1,UKIZ,100.0
a,1,UKJ1,100.0
a,1,UKJ2,100.0
a,1,UKJ3,100.0
a,1,UKJ4,100.0
a,1,UKK1,100.0
a,1,DEB1,100.0
a,1,UKK3,100.0
a,1,UKK4,100.0
a,1,DK01,100.0
a,1,ITF3,100.0
a,1,UKM5,100.0
a,1,UKM6,100.0
a,1,ITF1,100.0
a,1,IE06,100.0
a,1,UKM9,100.0
a,1,UKNO,100.0
