scenario,time,node,importPriceCarrier
a,1,AL01,60.0
a,1,ALO2,60.0
a,1,ALO3,60.0
a,1,AT11,60.0
a,1,DEEO,60.0
a,1,AT13,60.0
a,1,AT21,60.0
a,1,AT22,60.0
a,1,NL34,60.0
a,1,AT32,60.0
a,1,AT33,60.0
a,1,AT34,60.0
a,1,BE10,60.0
a,1,BE21,60.0
a,1,BE22,60.0
a,1,BE23,60.0
a,1,BE24,60.0
a,1,BE25,60.0
a,1,BE31,60.0
a,1,PL81,60.0
a,1,NL42,60.0
a,1,BE34,60.0
a,1,BE35,60.0
a,1,BG31,60.0
a,1,ITG1,60.0
a,1,DEA3,60.0
a,1,DEA2,60.0
a,1,BG41,60.0
a,1,DEB3,60.0
a,1,CHO1,60.0
a,1,CHO2,60.0
a,1,CHO3,60.0
a,1,CH04,60.0
a,1,CH05,60.0
a,1,CH06,60.0
a,1,CH07,60.0
a,1,CYOO,60.0
a,1,CZ01,60.0
a,1,DEFO,60.0
a,1,CZ03,60.0
a,1,UKD1,60.0
a,1,CZO,60.0
a,1,CZ06,60.0
a,1,CZ07,60.0
a,1,LTO2,60.0
a,1,DE11,60.0
a,1,DE12,60.0
a,1,DE94,60.0
a,1,DE14,60.0
a,1,FRD2,60.0
a,1,DE22,60.0
a,1,DE23,60.0
a,1,DE24,60.0
a,1,DE25,60.0
a,1,DE26,60.0
a,1,DE27,60.0
a,1,DE30,60.0
a,1,RO31,60.0
a,1,DE21,60.0
a,1,NL33,60.0
a,1,NL11,60.0
a,1,DE72,60.0
a,1,DE73,60.0
a,1,DE80,60.0
a,1,DE91,60.0
a,1,DE92,60.0
a,1,ITH5,60.0
a,1,FI1B,60.0
a,1,DEA1,60.0
a,1,RO12,60.0
a,1,ES61,60.0
a,1,PL42,60.0
a,1,DEA5,60.0
a,1,AT31,60.0
a,1,DEB2,60.0
a,1,PL61,60.0
a,1,DECO,60.0
a,1,ES43,60.0
a,1,DED4,60.0
a,1,BE32,60.0
a,1,CZ04,60.0
a,1,HU21,60.0
a,1,BG32,60.0
a,1,HR04,60.0
a,1,PL52,60.0
a,1,DK03,60.0
a,1,DK04,60.0
a,1,DK05,60.0
a,1,FR10,60.0
a,1,UKL2,60.0
a,1,EL41,60.0
a,1,EL42,60.0
a,1,FRLO,60.0
a,1,SKO2,60.0
a,1,EL52,60.0
a,1,EL53,60.0
a,1,EL54,60.0
a,1,EL61,60.0
a,1,EL62,60.0
a,1,EL63,60.0
a,1,EL64,60.0
a,1,FRF1,60.0
a,1,ES11,60.0
a,1,ES12,60.0
a,1,ES13,60.0
a,1,ES21,60.0
a,1,ES22,60.0
a,1,ES23,60.0
a,1,BG42,60.0
a,1,ES30,60.0
a,1,ES41,60.0
a,1,ES42,60.0
a,1,RO21,60.0
a,1,ITC4,60.0
a,1,PL21,60.0
a,1,ES53,60.0
a,1,PT18,60.0
a,1,SE23,60.0
a,1,ES63,60.0
a,1,ES64,60.0
a,1,ES70,60.0
a,1,UKF3,60.0
a,1,UKM7,60.0
a,1,FI1C,60.0
a,1,FI1D,60.0
