scenario,time,node,availabilityCarrier
a,1,AL01,1000000000.0
a,1,ALO2,1000000000.0
a,1,ALO3,1000000000.0
a,1,AT11,1000000000.0
a,1,DEEO,1000000000.0
a,1,AT13,1000000000.0
a,1,AT21,1000000000.0
a,1,AT22,1000000000.0
a,1,NL34,1000000000.0
a,1,AT32,1000000000.0
a,1,AT33,1000000000.0
a,1,AT34,1000000000.0
a,1,BE10,1000000000.0
a,1,BE21,1000000000.0
a,1,BE22,1000000000.0
a,1,BE23,1000000000.0
a,1,BE24,1000000000.0
a,1,BE25,1000000000.0
a,1,BE31,1000000000.0
a,1,PL81,1000000000.0
a,1,NL42,1000000000.0
a,1,BE34,1000000000.0
a,1,BE35,1000000000.0
a,1,BG31,1000000000.0
a,1,ITG1,1000000000.0
a,1,DEA3,1000000000.0
a,1,DEA2,1000000000.0
a,1,BG41,1000000000.0
a,1,DEB3,1000000000.0
a,1,CHO1,1000000000.0
a,1,CHO2,1000000000.0
a,1,CHO3,1000000000.0
a,1,CH04,1000000000.0
a,1,CH05,1000000000.0
a,1,CH06,1000000000.0
a,1,CH07,1000000000.0
a,1,CYOO,1000000000.0
a,1,CZ01,1000000000.0
a,1,DEFO,1000000000.0
a,1,CZ03,1000000000.0
a,1,UKD1,1000000000.0
a,1,CZO,1000000000.0
a,1,CZ06,1000000000.0
a,1,CZ07,1000000000.0
a,1,LTO2,1000000000.0
a,1,DE11,1000000000.0
a,1,DE12,1000000000.0
a,1,DE94,1000000000.0
a,1,DE14,1000000000.0
a,1,FRD2,1000000000.0
a,1,DE22,1000000000.0
a,1,DE23,1000000000.0
a,1,DE24,1000000000.0
a,1,DE25,1000000000.0
a,1,DE26,1000000000.0
a,1,DE27,1000000000.0
a,1,DE30,1000000000.0
a,1,RO31,1000000000.0
a,1,DE21,1000000000.0
a,1,NL33,1000000000.0
a,1,NL11,1000000000.0
a,1,DE72,1000000000.0
a,1,DE73,1000000000.0
a,1,DE80,1000000000.0
a,1,DE91,1000000000.0
a,1,DE92,1000000000.0
a,1,ITH5,1000000000.0
a,1,FI1B,1000000000.0
a,1,DEA1,1000000000.0
a,1,RO12,1000000000.0
a,1,ES61,1000000000.0
a,1,PL42,1000000000.0
a,1,DEA5,1000000000.0
a,1,AT31,1000000000.0
a,1,DEB2,1000000000.0
a,1,PL61,1000000000.0
a,1,DECO,1000000000.0
a,1,ES43,1000000000.0
a,1,DED4,1000000000.0
a,1,BE32,1000000000.0
a,1,CZ04,1000000000.0
a,1,HU21,1000000000.0
a,1,BG32,1000000000.0
a,1,HR04,1000000000.0
a,1,PL52,1000000000.0
a,1,DK03,1000000000.0
a,1,DK04,1000000000.0
a,1,DK05,1000000000.0
a,1,FR10,1000000000.0
a,1,UKL2,1000000000.0
a,1,EL41,1000000000.0
a,1,EL42,1000000000.0
a,1,FRLO,1000000000.0
a,1,SKO2,1000000000.0
a,1,EL52,1000000000.0
a,1,EL53,1000000000.0
a,1,EL54,1000000000.0
a,1,EL61,1000000000.0
a,1,EL62,1000000000.0
a,1,EL63,1000000000.0
a,1,EL64,1000000000.0
a,1,FRF1,1000000000.0
a,1,ES11,1000000000.0
a,1,ES12,1000000000.0
a,1,ES13,1000000000.0
a,1,ES21,1000000000.0
a,1,ES22,1000000000.0
a,1,ES23,1000000000.0
a,1,BG42,1000000000.0
a,1,ES30,1000000000.0
a,1,ES41,1000000000.0
a,1,ES42,1000000000.0
a,1,RO21,1000000000.0
a,1,ITC4,1000000000.0
a,1,PL21,1000000000.0
a,1,ES53,1000000000.0
a,1,PT18,1000000000.0
a,1,SE23,1000000000.0
a,1,ES63,1000000000.0
a,1,ES64,1000000000.0
a,1,ES70,1000000000.0
a,1,UKF3,1000000000.0
a,1,UKM7,1000000000.0
a,1,FI1C,1000000000.0
a,1,FI1D,1000000000.0
a,1,FI20,1000000000.0
a,1,UKK2,1000000000.0
a,1,FRBO,1000000000.0
a,1,DE71,1000000000.0
a,1,FRC2,1000000000.0
a,1,FRD1,1000000000.0
a,1,DE40,1000000000.0
a,1,ITG2,1000000000.0
a,1,FRE2,1000000000.0
a,1,BE33,1000000000.0
a,1,FRF2,1000000000.0
a,1,FRF3,1000000000.0
a,1,FRGO,1000000000.0
a,1,FRHO,1000000000.0
a,1,BG33,1000000000.0
a,1,FRI2,1000000000.0
a,1,FRI3,1000000000.0
a,1,FRJ1,1000000000.0
a,1,FRJ2,1000000000.0
a,1,FRK1,1000000000.0
a,1,UKE4,1000000000.0
a,1,EL43,1000000000.0
a,1,FRMO,1000000000.0
a,1,FRY1,1000000000.0
a,1,FRY2,1000000000.0
a,1,FRY3,1000000000.0
a,1,FRY4,1000000000.0
a,1,FRY5,1000000000.0
a,1,HRO3,1000000000.0
a,1,ITF4,1000000000.0
a,1,HU11,1000000000.0
a,1,HU12,1000000000.0
a,1,SK01,1000000000.0
a,1,HU22,1000000000.0
a,1,HU23,1000000000.0
a,1,AT12,1000000000.0
a,1,HU32,1000000000.0
