node,x,y
AL01,1410.594,4702.085
ALO2,1428.763,4613.311
ALO3,1446.518,4540.121
AT11,1051.464,5257.213
DEEO,685.265,5765.701
AT13,1049.1638,5365.322
AT21,917.474,5188.125
AT22,994.277,5246.056
NL34,136.827,5696.903
AT32,802.492,5244.297
AT33,633.617,5226.78
AT34,566.994,5231.837
BE10,173.151,5642.317
BE21,201.479,5683.116
BE22,248.171,5653.917
BE23,136.111,5666.176
BE24,188.544,5645.123
BE25,82.924,5668.659
BE31,188.555,5621.949
PL81,1467.571,5767.58
NL42,285.405,5674.925
BE34,250.478,5539.629
BE35,205.532,5577.231
BG31,1704.883,4916.244
ITG1,956.34,4170.72
DEA3,390.179,5756.217
DEA2,345.678,5633.024
BG41,1682.276,4786.394
DEB3,423.848,5478.981
CHO1,362.273,5110.934
CHO2,380.702,5196.072
CHO3,439.473,5252.159
CH04,473.297,5250.5
CH05,543.548,5176.454
CH06,457.399,5202.054
CH07,485.227,5127.899
CYOO,2726.595,4155.632
CZ01,890.874,5560.307
DEFO,553.722,5992.774
CZ03,864.284,5453.663
UKD1,-265.208,6114.996
CZO,982.894,5591.586
CZ06,1022.106,5479.038
CZ07,1109.98,5521.658
LTO2,1424.122,6241.05
DE11,545.627,5429.298
DE12,476.069,5429.11
DE94,418.293,5863.15
DE14,537.511,5331.05
FRD2,-78.184,5501.543
DE22,779.744,5401.191
DE23,725.956,5476.13
DE24,670.602,5546.824
DE25,629.352,5468.162
DE26,567.318,5540.381
DE27,613.589,5336.099
DE30,798.758,5825.817
RO31,1799.404,5061.347
DE21,704.23,5331.777
NL33,189.814,5763.863
NL11,346.139,5904.515
DE72,485.281,5617.977
DE73,531.935,5655.656
DE80,728.807,5957.268
DE91,592.964,5767.441
DE92,525.115,5805.177
ITH5,661.289,4931.903
FI1B,1362.73,6797.994
DEA1,333.095,5700.67
RO12,1719.402,5237.663
ES61,-703.885,4233.698
PL42,934.911,5955.714
DEA5,429.803,5684.997
AT31,868.198,5344.057
DEB2,335.305,5538.509
PL61,1136.06,5923.529
DECO,351.749,5473.069
ES43,-812.223,4448.915
DED4,769.143,5626.999
BE32,139.791,5609.406
CZ04,814.829,5592.252
HU21,1189.749,5271.137
BG32,1848.553,4921.198
HR04,0.0,0.0
PL52,1129.653325,5649.458173
DK03,503.6007758,6139.733183999999
DK04,524.7665589,6233.498546
DK05,557.4663044,6348.059819
FR10,23.76395691,5416.556284
UKL2,-337.612396,5864.890639
EL41,1973.755501,4479.308588999999
EL42,2210.42851,4171.888903
FRLO,264.4651381,4871.942807
SKO2,1170.927059,5401.265647999999
EL52,1675.420556,4609.573552
EL53,1561.557553,4543.801387
EL54,1513.07584,4450.736649
EL61,1631.535921,4461.677721
EL62,1511.886084,4296.701209
EL63,1601.553888,4265.920984
EL64,1698.309785,4358.155462000001
FRF1,385.2014038,5352.833378
ES11,-884.2238291,4872.94425
ES12,-717.1112358,4904.875547000001
ES13,-561.8338368000001,4865.218361
ES21,-443.7941348,4833.668029
ES22,-372.5637046,4784.145826999999
ES23,-442.7789787,4748.322133000001
BG42,1846.159025,4749.401492
ES30,-578.4642456,4561.737041999999
ES41,-650.0664369,4714.727245
ES42,-548.3098001,4418.13695
RO21,1841.155772,5369.133665
ITC4,560.2691542,5051.31329
PL21,1309.164833,5583.521427000001
ES53,-18.40253162,4401.635802
PT18,-987.674226,4398.633911999999
SE23,728.0847331,6447.608842000001
ES63,-799.6104468999999,4069.020919
ES64,-589.1993739999999,3972.176834
ES70,-2053.932388,3406.234779
UKF3,-119.7568869,5923.098965
UKM7,-309.7978801,6333.601788
FI1C,1390.0385669999998,6902.460561000002
FI1D,1323.217858,7399.084457000001
FI20,1111.823596,6732.630294
UKK2,-318.037137,5714.500157000001
FRBO,-51.54283015,5284.668607
DE71,482.8436905,5545.473007999998
FRC2,278.7957687,5231.212081000001
FRD1,-193.785334,5460.782426
DE40,710.1631073,5886.17624
ITG2,502.9648114,4436.361539
FRE2,52.4921787,5517.153113
BE33,268.2850273,5601.587744
FRF2,172.0577933,5408.548985
FRF3,289.4985792,5404.175387
FRGO,-237.5264373,5306.713095
FRHO,-375.8218687,5402.30075
BG33,1988.001635,4967.901701999999
FRI2,-65.97567568,5094.232296
FRI3,-199.8629138,5152.417329
FRJ1,35.92919163,4844.342498999999
FRJ2,-104.4026604,4873.920672
FRK1,44.93472974,5073.019063999998
UKE4,-205.0386909,6006.662004
EL43,1945.918392,4014.875546
FRMO,508.0651066,4663.850503000001
FRY1,-9113.583382,4616.416312
FRY2,-9214.372886,4156.85582
FRY3,-8376.458067000001,936.3167964
FRY4,5755.564673000001,-3251.4876200000003
FRY5,4680.679075,-1744.166343
HRO3,1020.757969,4940.366588999999
ITF4,1138.099919,4567.032
HU11,1260.748206,5308.4023480000005
HU12,1260.138523,5276.445552
SK01,1104.980316,5381.889847999998
HU22,1105.2753390000005,5257.289888
HU23,1194.066673,5171.7759320000005
AT12,1001.612072,5367.203033
HU32,1427.416818,5344.103402
HU33,1305.422102,5213.035161000001
IE04,-639.0798744,6096.83029
IE05,-677.7289908,5944.619554
EE00,1470.936494,6626.770159
ISOO,-791.2801979000001,7472.997587999998
DE60,566.9359514,5932.728489
ITC2,374.9164462,5065.100267
ITC3,432.1971897,4889.695967000001
EL51,1918.100746,4686.337411
ITH3,722.3792920999999,5060.351665
ITF2,961.7614255,4619.642673
NL41,254.5275829,5716.495743
FRK2,214.1379134,5038.557302
IT13,836.6101755,4807.806797
ITF6,1138.1487450000002,4360.618653
ES52,-322.2084479,4404.222672
DE93,569.9060373,5872.241802999998
ITH1,685.3050306,5175.267598
ITH2,643.6038447,5110.318886
EL30,1802.835704,4317.021887
ITH4,812.6125509000001,5120.520286
DK02,674.0296767,6146.935469
ITI1,672.3093242,4816.261004
DED2,858.2358452,5682.441922
ES62,-422.2996105,4258.117489
IT14,810.6442022000001,4655.454385
LIOO,541.9600156,5220.685321999999
LT01,1538.0254180000002,6195.8939420000015
ES51,-122.6200037,4654.846266
LUOO,290.7830709,5517.226783
LVOO,1558.19674,6417.898272999999
ME00,1340.430206,4786.944362
MKOO,1559.078584,4683.749355000001
MTOO,990.4351094,3984.957878
