node,year_construction,capacity_existing
CH,2006,0.001
CH,2007,0.004
CH,2008,0.014
CH,2009,0.031
CH,2010,0.037
CH,2011,0.110
CH,2012,0.120
CH,2013,0.099
CH,2014,0.029
CH,2015,0.092
CH,2016,0.058
CH,2017,0.012
CH,2018,0.000
DE,1997,0.006
DE,1998,0.005
DE,1999,0.008
DE,2000,0.042
DE,2001,0.097
DE,2002,0.093
DE,2003,0.121
DE,2004,0.631
DE,2005,0.905
DE,2006,0.829
DE,2007,1.220
DE,2008,1.923
DE,2009,4.337
DE,2010,14.76
DE,2011,7.920
DE,2012,6.776
DE,2013,3.083
DE,2014,1.730
DE,2015,1.382
DE,2016,1.453
DE,2017,1.630
DE,2018,5.729
DE,2019,3.043
DE,2024,2.5
