Key;Type;Default Value;Description
use_rolling_horizon;``bool``;``False``;per default the optimization is conducted assuming perfect foresight, set this parameter to ``True``if you want to use a rolling horizon approach with myopic foresight instead
years_in_rolling_horizon;``int``;5;per default 5 years of foresight are included in the rolling horizon approach, flexibly increase or decrase this value to investigate longer or shorter foresight horizons
years_in_decision_horizon;``int``;1;per default, the rolling horizon decision horizon is one year, increase this value to only allow decision every second (2) or third (3) year, etc.
;;
run_default_scenario;``bool``;``True``;per default (``True``) the optimization is conducted for the default scenario as well as all scenarios specified in ``scenarios.json``, if ``False``the optimization is only conducted for the scenarios specified in ``scenarios.json``
clean_sub_scenarios;``bool``;``False``;per default (``Fasle``) sub-scenarios are not removed, set to ``True``to delete sub-scenarios between runs
;;
set_transport_technologies_loss_exponential;``list[str]``;``[]``;list of transport technologies for which exponential transport loss function is used 
double_capex_transport;``bool``;``False``;per default (False) only distance dependent capital expenditures are applied to transport tech, if true, apply both fix capital expenditures (capex) and distance dependent capex to installation of transport technologies
storage_periodicity;``bool``;``True``;
exclude_parameters_from_TSA;``bool``;``True``;exclude selected parameters from TSA
knowledge_depreciation_rate;float;0.1
enforce_selfish_behavior;``bool``;``False``

