Parameter Name;Symbol;Time Step Type;Doc String;Unit Category
``capacity_existing``;:math:`\Delta s^\mathrm{ex}_{h,s,p,y}`;temporal immutable;Parameter which specifies the existing technology size;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_existing``;:math:`\Delta s^\mathrm{ex}_{h,s,p,y}`;``set_technologies_existing``;Parameter which specifies the size of the previously added capacities;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_investment_existing``;:math:`\Delta s^\mathrm{ex,invest}_{h,s,p,y}`;``set_technologies_existing``;Parameter which specifies the size of the previously invested capacities;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_addition_min``;:math:`\Delta s^\mathrm{min}_{h,s,p,y}`;temporal immutable;Parameter which specifies the minimum capacity addition that can be installed;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_addition_max``;:math:`\Delta s^\mathrm{max}_{h,s,p,y}`;temporal immutable;Parameter which specifies the maximum capacity addition that can be installed;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_addition_unbounded``;:math:`\zeta_h`;temporal immutable;Parameter which specifies the unbounded capacity addition that can be added each year (only for delayed technology deployment);"{""energy_quantity"": 1, ""time"": -1}"
``lifetime_existing``;:math:`l^\mathrm{ex}_h`;temporal immutable;Parameter which specifies the remaining lifetime of an existing technology;{}
``capex_capacity_existing``;-;temporal immutable;Parameter which specifies the total capex of an existing technology which still has to be paid;"{""money"": 1, ""energy_quantity"": -1}"
``opex_specific_variable``;:math:`\beta_{h,y}`;``set_time_steps_operation``;Parameter which specifies the variable specific opex;"{""money"": 1, ""energy_quantity"": -1}"
``opex_specific_fixed``;:math:`\gamma_{h,y}`;``set_time_steps_yearly``;Parameter which specifies the fixed annual specific opex;"{""money"": 1, ""energy_quantity"": -1, ""time"": 1}"
``lifetime``;:math:`l^\mathrm{ex}_h`;temporal immutable;Parameter which specifies the lifetime of a newly built technology;{}
``construction_time``;:math:`dy^\mathrm{construction}`;temporal immutable;Parameter which specifies the construction time of a newly built technology;{}
``max_diffusion_rate``;:math:`\vartheta_h`;``set_time_steps_yearly``;Parameter which specifies the maximum diffusion rate which is the maximum increase in capacity between investment steps;{}
``capacity_limit``;:math:`s^\mathrm{max}_{h,p,y}`;temporal immutable;Parameter which specifies the capacity limit of technologies;"{""energy_quantity"": 1, ""time"": -1}"
``min_load``;:math:`m^\mathrm{min}_{h,n,t,y}`;``set_time_steps_operation``;Parameter which specifies the minimum load of technology relative to installed capacity;{}
``max_load``;:math:`m^\mathrm{max}_{h,n,t,y}`;``set_time_steps_operation``;Parameter which specifies the maximum load of technology relative to installed capacity;{}
``carbon_intensity_technology``;:math:`\theta^\mathrm{tech}_{h,n,t,y}`;temporal immutable;Parameter which specifies the carbon intensity of each technology;"{""emissions"": 1, ""energy_quantity"": -1}"
