Set Name;Symbol;Indexed By;Description
``set_elements``;:math:`a \in \mathcal{A}`;--;Set of elements
``set_hours``;:math:`b \in \mathcal{B}`;--;Set of base timesteps (hours)
``set_carriers``;:math:`c \in \mathcal{C}`;--;Set of carriers
``set_dependent_carriers``;:math:`c^{\mathrm{dep}} \in \mathcal{C}_{h}^{\mathrm{dep}}`;``set_conversion_technologies``;Set of carriers that are dependent on the reference carrier of a specific conversion technology
``set_input_carriers``;:math:`c^{\mathrm{in}} \in \mathcal{C}_{h}^{\mathrm{in}}`;``set_conversion_technologies``;Set of carriers that are an input to a specific conversion technology
``set_output_carriers``;:math:`c^{\mathrm{out}} \in \mathcal{C}_{h}^{\mathrm{out}}`;``set_conversion_technologies``;Set of carriers that are an output to a specific conversion technology
``set_reference_carriers``;:math:`c_{h}^{\mathrm{ref}} \in \mathcal{C}`;``set_technologies``;Reference carrier corresponding to a technology
``set_edges``;:math:`e \in \mathcal{E}`;--;Set of edges
``set_technologies``;:math:`h \in \mathcal{H}`;--;Set of technologies
``set_retrofitting_base_technologies``;:math:`h^{\mathrm{base}} \in \mathcal{H}_{h^{\mathrm{retro}}}^{\mathrm{base}}`;``set_retrofitting_technologies``;Set of base technologies for a specific retrofitting technology
``set_conversion_technologies``;:math:`h \in \mathcal{H}^{\mathrm{conv}}`;--;Set of conversion technologies
``set_retrofitting_technologies``;:math:`h \in \mathcal{H}^{\mathrm{retro}}`;--;Set of retrofitting technologies
``set_storage_technologies``;:math:`h \in \mathcal{H}^{\mathrm{stor}}`;--;Set of storage technologies
``set_transport_technologies``;:math:`h \in \mathcal{H}^{\mathrm{trans}}`;--;Set of transport technologies
``set_nodes``;:math:`n \in \mathcal{N}`;--;Set of nodes
``set_nodes_on_edges``;:math:`n \in \mathcal{N}_{e}`;``set_edges``;Set of nodes that constitute an edge
``set_location``;:math:`p \in \mathcal{P}`;--;Set of positions
``set_time_steps_operation``;:math:`t \in \mathcal{T}_{y}`;--;Set of operational time steps
``set_time_steps_storage``;:math:`\tilde{t} \in \widetilde{\mathcal{T}}_{y}`;--;Set of storage level timesteps
``set_technologies_existing``;:math:`v \in \mathcal{V}_{h}`;--;Set of existing technology capacities
``set_years``;:math:`y \in \mathcal{Y}`;--;Set of yearly timesteps within the current foresight horizon. For simulations with myopic foresight, this set is a subset :math:`\mathcal{Y}^\mathrm{horizon}`
``set_years_entire_horizon``;:math:`y \in \mathcal{Y}^{\mathrm{horizon}}`;--;All yearly timesteps, regardless of whether they are inside or outside the current foresight horizon.
