Key;Type;Default Value;Description
``slv``;``Solver``;``Solver()``;specify the solver settings. Per default the solver settings are used
``clusterMethod``;``str``;``hierarchical``;select the clustering method. Per default the hierarchical clustering is used. Other options are
``solver``;``str``;``slv.name``;select a solver. Per default the solver specified in the solver settings is used.
``hoursPerPeriod``;``int``;``1``;specify the length of a period in hours
``extremePeriodMethod``;``Optional[str]``;``"None``;select the extreme period method
``rescaleClusterPeriods``;``bool``;``False;rescale cluster periods
``representationMethod``;``str``;``meanRepresentation``;select the representation method
``resolution``;``int``;``1``;select the resolution
``segmentation``;``bool``;``False``;use segments to represent the timeseries
``noSegments``;``int``;``12``;specify the number of segments used to represent the timeseries
