index,value,unit
capacity_addition_min_default,0,GW
capacity_addition_max_default,inf,GW
capacity_existing_default,0,GW
capacity_limit_default,inf,GW
min_load_default,0,
max_load_default,1,
lifetime_default,100,
opex_specific_variable_default,0,kiloEuro/GWh
reference_carrier,natural_gas,GW
carbon_intensity_default,0,kilotons/GWh
construction_time_default,0,
capacity_investment_existing_default,0,GW
opex_specific_fixed_default,135.74,kiloEuro/GW
max_diffusion_rate_default,inf,
efficiency_charge_default,0.9746794344808963,
efficiency_discharge_default,0.9746794344808963,
self_discharge_default,0,
capex_specific_default,238.68,Euro/kW
capacity_addition_min_energy_default,0,GWh
capacity_addition_max_energy_default,inf,GWh
capacity_existing_energy_default,0,GWh
capacity_limit_energy_default,inf,GWh
min_load_energy_default,0,
max_load_energy_default,1,
capacity_investment_existing_energy_default,0,GWh
opex_specific_fixed_energy_default,55.54,Euro/MWh
capex_specific_energy_default,3.43,Euro/kWh
capacity_addition_unbounded_default,0,GW
