
node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
AT,1,1.032576018,1.065152036,1.097728054,1.130304071,1.167081982,1.203859892,1.240637802,1.277415712,1.314193622,1.347778624,1.381363627,1.414948629,1.448533632,1.482118634
BE,1,1.022538391,1.045076781,1.067615172,1.090153562,1.111283157,1.132412751,1.153542346,1.174671941,1.195801535,1.233710506,1.271619477,1.309528448,1.347437419,1.38534639
BG,1,1.024453267,1.048906534,1.073359802,1.097813069,1.11625122,1.134689372,1.153127523,1.171565675,1.190003826,1.219174478,1.248345129,1.277515781,1.306686432,1.335857084
CY,1,1.041072193,1.082144386,1.12321658,1.164288773,1.197417435,1.230546097,1.263674759,1.296803421,1.329932083,1.380629012,1.431325941,1.482022871,1.5327198,1.58341673
CZ,1,1.027104119,1.054208238,1.081312358,1.108416477,1.14604876,1.183681043,1.221313326,1.258945608,1.296577891,1.326088851,1.35559981,1.385110769,1.414621728,1.444132687
DE,1,1.030163216,1.060326431,1.090489647,1.120652863,1.146967805,1.173282747,1.199597689,1.225912631,1.252227573,1.281276081,1.31032459,1.339373099,1.368421607,1.397470116
DK,1,1.051099265,1.102198529,1.153297794,1.204397058,1.241555858,1.278714657,1.315873457,1.353032256,1.390191056,1.422784794,1.455378532,1.487972271,1.520566009,1.553159748
EE,1,1.009735356,1.019470712,1.029206067,1.038941423,1.061480441,1.084019459,1.106558477,1.129097495,1.151636512,1.181456676,1.21127684,1.241097004,1.270917168,1.300737332
ES,1,1.019195828,1.038391655,1.057587483,1.07678331,1.107290891,1.137798472,1.168306054,1.198813635,1.229321216,1.273447521,1.317573826,1.361700131,1.405826436,1.449952741
FI,1,1.04028409,1.080568179,1.120852269,1.161136358,1.221652667,1.282168976,1.342685284,1.403201593,1.463717902,1.477916957,1.492116012,1.506315068,1.520514123,1.534713178
FR,1,1.021430388,1.042860775,1.064291163,1.085721551,1.1135204,1.141319249,1.169118098,1.196916947,1.224715796,1.255740236,1.286764676,1.317789116,1.348813557,1.379837997
EL,1,1.013141915,1.02628383,1.039425745,1.052567659,1.084286335,1.11600501,1.147723685,1.17944236,1.211161035,1.257493451,1.303825868,1.350158284,1.396490701,1.442823117
HR,1,1.015177033,1.030354065,1.045531098,1.06070813,1.073539162,1.086370193,1.099201225,1.112032256,1.124863287,1.181029449,1.23719561,1.293361772,1.349527933,1.405694094
HU,1,1.029369714,1.058739428,1.088109141,1.117478855,1.1401793,1.162879745,1.18558019,1.208280635,1.23098108,1.269952209,1.308923337,1.347894466,1.386865594,1.425836723
IE,1,1.060182182,1.120364365,1.180546547,1.24072873,1.273695822,1.306662914,1.339630006,1.372597098,1.40556419,1.447193513,1.488822835,1.530452158,1.57208148,1.613710803
IT,1,1.00872409,1.01744818,1.02617227,1.03489636,1.062555218,1.090214077,1.117872936,1.145531795,1.173190654,1.213784142,1.254377631,1.294971119,1.335564608,1.376158096
LT,1,1.020619429,1.041238858,1.061858286,1.082477715,1.085884402,1.089291089,1.092697775,1.096104462,1.099511149,1.134669973,1.169828798,1.204987622,1.240146446,1.275305271
LU,1,1.022971725,1.04594345,1.068915175,1.0918869,1.125944441,1.160001982,1.194059523,1.228117064,1.262174605,1.311503009,1.360831413,1.410159816,1.45948822,1.508816624
LV,1,1.021883565,1.04376713,1.065650695,1.08753426,1.107777248,1.128020237,1.148263226,1.168506215,1.188749204,1.21877411,1.248799017,1.278823924,1.308848831,1.338873738
MT,1,1.02920549,1.058410981,1.087616471,1.116821962,1.160791009,1.204760056,1.248729102,1.292698149,1.336667196,1.371573193,1.406479189,1.441385186,1.476291183,1.511197179
NL,1,1.070951175,1.14190235,1.212853525,1.2838047,1.331702514,1.379600328,1.427498142,1.475395955,1.523293769,1.573505308,1.623716847,1.673928386,1.724139925,1.774351464
PL,1,1.029843602,1.059687204,1.089530805,1.119374407,1.150946883,1.182519359,1.214091835,1.24566431,1.277236786,1.338235987,1.399235188,1.460234388,1.521233589,1.58223279
PT,1,1.015639106,1.031278212,1.046917319,1.062556425,1.100952656,1.139348887,1.177745118,1.216141349,1.25453758,1.292611171,1.330684763,1.368758354,1.406831945,1.444905537
RO,1,1.035677731,1.071355463,1.107033194,1.142710926,1.174515453,1.206319979,1.238124506,1.269929033,1.30173356,1.350832639,1.399931718,1.449030797,1.498129876,1.547228954
SE,1,1.016846077,1.033692155,1.050538232,1.06738431,1.085468216,1.103552121,1.121636027,1.139719933,1.157803839,1.18365089,1.209497941,1.235344992,1.261192043,1.287039094
SI,1,1.026068178,1.052136357,1.078204535,1.104272714,1.125954312,1.14763591,1.169317509,1.190999107,1.212680706,1.23964545,1.266610193,1.293574937,1.320539681,1.347504424
SK,1,1.024737951,1.049475903,1.074213854,1.098951805,1.128223907,1.157496009,1.18676811,1.216040212,1.245312314,1.313792076,1.382271839,1.450751601,1.519231364,1.587711126
UK,1,1.024557044,1.049114089,1.073671133,1.098228178,1.172432595,1.246637012,1.320841429,1.395045847,1.469250264,1.50881876,1.548387256,1.587955752,1.627524248,1.667092745
