node,x,y
AT,886.239,5282.946
BE,193.137,5619.109
BG,1829.758,4863.274
CH,440.107,5200.439
CY,2726.595,4155.632
CZ,955.787,5528.764
DE,596.58,5658.898
DK,519.898,6209.147
EE,1470.936,6626.77
EL,1666.218,4460.624
ES,-566.789,4546.485
FI,1322.099,7265.507
FR,2.836,5183.273
HR,1102.982,4872.104
HU,1288.433,5275.903
IE,-637.176,6029.751
IT,788.677,4748.772
LT,1442.546,6233.971
LU,290.783,5517.227
LV,1558.197,6417.898
ME,1340.43,4786.944
MK,1559.079,4683.749
MT,990.435,3984.958
NL,271.285,5798.944
NO,515.927,6805.983
PL,1211.351,5826.842
PT,-958.914,4533.221
RO,1740.206,5201.493
RS,1442.252,4966.189
SE,797.549,6735.229
SI,949.351,5124.708
SK,1270.059,5447.73
UK,-239.346,5961.028
