index,value,unit
capacity_addition_min_default,0,GW
capacity_addition_max_default,inf,GW
capacity_existing_default,0,GW
capacity_limit_default,inf,GW
min_load_default,0,
max_load_default,1,
lifetime_default,24,
opex_specific_variable_default,0,kiloEuro/GWh
reference_carrier,heat,GW
carbon_intensity_default,0,kilotons/GWh
construction_time_default,0,
capacity_investment_existing_default,0,GW
opex_specific_fixed_default,87.6,Euro/kW
max_diffusion_rate_default,inf,
input_carrier,natural_gas,GW
output_carrier,heat,GW
conversion_factor_default,1.1,
capex_specific_default,876,Euro/kW
capacity_addition_unbounded_default,0,GW
