uid;city;state;country;iso3;country_code;region;sub_region;accuracy;status;plant_type;production_type;capacity;capacity_source;year;owner_permid;owner_name;owner_source;parent_permid;parent_name;ownership_stake;parent_lei;parent_holding_status;parent_ticker;parent_exchange;parent_permid_2;parent_name_2;ownership_stake_2;parent_lei_2;parent_holding_status_2;parent_ticker_2;parent_exchange_2;name;permit_id;site_name;facility_name;installation_name;installationpart_name;site_inspire_id;facility_inspire_id;installation_inspire_id;installation_part_inspire_id;eigl_text_lon;eigl_text_lat;x;y
GACTAFG0001;Pol-e Khomri;Baghlan;Afghanistan;AFG;4;Asia;Southern Asia;Exact;Operating;Integrated;Wet;0.36;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2015-af.pdf;0;;;;;;0;;;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;68.6863;35.9658;7646123.940499999;4295916.524599999
GACTAFG0002;Injil;Herat;Afghanistan;AFG;4;Asia;Southern Asia;Exact;Under Construction;;;0;;0;;;;;;0;;;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;61.953499999999984;34.3221;6896632.072900001;4072134.6231999993
GACTAGO0001;Luanda;Luanda;Angola;AGO;24;Africa;Sub-Saharan Africa;Exact;Operating;Integrated;;1.2;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-ang.pdf;0;4296811479;Nova Cimangola;http://www.cimangola.com/?page_id=1168&lang=en;4296811479;Nova Cimangola;0;;Private;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;13.316099999999999;-8.766200000000005;1482341.4714000002;-979678.5808000006
GACTAGO0002;Cacuaco;Luanda;Angola;AGO;24;Africa;Sub-Saharan Africa;Exact;Operating;Integrated;Dry;1.83;Estimated;2017;4296811479;Nova Cimangola;http://www.cimangola.com/?page_id=1168&lang=en;4296811479;Nova Cimangola;0;;Private;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;13.4268;-8.796400000000004;1494664.5390000008;-983080.3035999984
GACTAGO0003;Lobito;Benguela;Angola;AGO;24;Africa;Sub-Saharan Africa;Exact;Operating;Grinding;;0.35;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-ang.pdf;0;5035943898;Secil Angola SARL;http://www.secil-group.com/a-secil/a-secil-no-mundo/?lang=en#secil_no_mundo_tunisia_en;4295886745;Secil Companhia Geral de Cal e Cimento SA;0;5493002X2CCY60HWCU94;Private;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;13.5818;-12.3426;1511919.0601000004;-1384723.5243999995
GACTAGO0004;Sumbe;Kwanza-Sul;Angola;AGO;24;Africa;Sub-Saharan Africa;Exact;Operating;Integrated;Dry;1.4;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-ang.pdf;0;;;;;;0;;;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;14.0308;-11.185199999999995;1561901.5113999993;-1253115.679200001
GACTAGO0005;Ícolo e Bengo;Bengo;Angola;AGO;24;Africa;Sub-Saharan Africa;Exact;Operating;Integrated;Dry;4;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-ang.pdf;0;;;;;;0;;;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;13.567399999999997;-9.101299999999995;1510316.0593999997;-1017439.8969999999
GACTAGO0006;Benguela;Benguela;Angola;AGO;24;Africa;Sub-Saharan Africa;Exact;Operating;Grinding;;0.7;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-ang.pdf;0;;;;;;0;;;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;13.4967;-12.537800000000002;1502445.771400001;-1406975.5474999994
GACTALB0001;Rrethi i Lezhës;Qarku i Lezhës;Albania;ALB;8;Europe;Southern Europe;Exact;Operating;Grinding;;0.5;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-alb.pdf;2010;;Colacem Albania Shpk;https://www.colacem.com/al/sq/ku_dhe_si;4296427455;Colacem SpA;0;81560006C18832ACD262;Private;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;19.633499999999998;41.83680000000001;2185591.2225;5136564.137999997
GACTALB0002;Rrethi i Krujës;Qarku i Durrësit;Albania;ALB;8;Europe;Southern Europe;Exact;Operating;Integrated;Dry;1.33;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-alb.pdf;0;4296766190;Kushe Kruje Cement Factory;http://www.seament.com/contactus.php;5041753428;Seament Holding Sal;0;;Private;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;19.743599999999997;41.5031;2197847.498399999;5086834.422399998
