id_eigl;public_data;country;name;location;company;capacity_mwe;start_year;eigl_process;eigl_text_lon;eigl_text_lat;x;y
11;YES;Austria;H2FUTURE;Linz;voestalpine Giesserei Linz GmbH;6;2018;Proton exchange membrane electrolysis;14.2862;48.3059;1590332.509399999;6157897.417000003
14;YES;Austria;UpHy;Schwechat Refinery;;6;2022;Proton exchange membrane electrolysis;16.495299999999997;48.1482;1836248.3964999989;6131545.543200001
15;YES;Austria;DEMO4GRID;Völs;;4;2021;Alkaline electrolysis;11.328699999999998;47.2517;1261105.1152999997;5983255.127800003
16;YES;Austria;Underground Sun Storage;Pilsbach;;0.6;2018;Alkaline electrolysis;13.676499999999999;48.0405;1522461.0157999992;6113595.238499999
17;YES;Austria;Fronius Energy Cell, self-sufficient house;Wels;Fronius;0.008;2012;Proton exchange membrane electrolysis;14.049499999999998;48.15489999999999;1563983.185899999;6132663.472400002
18;YES;Austria;Hydrogen village Burgenland;Neusiedl am See;;2;2006;Proton exchange membrane electrolysis;16.8467;47.94989999999999;1875366.0654999986;6098524.023500003
19;YES;Austria;Fronius HyLOG-Fleet (Hydrogen powered Logistic System);;;0.006;2006;Proton exchange membrane electrolysis;14.0503;48.087399999999995;1564072.2415000014;6121407.4169000015
20;YES;Austria;OMV hydrogen filling station;Wiener Neudorf, IZ NÖ Süd Straße 4;OMV;0;2018;Other or unknown;16.3243;48.0763;1817212.7635999992;6119557.836099997
27;YES;Austria;Biological biogas upgrading in a trickle-bed reactor;Tulln/Donau;;0;2016;Power to Gas;16.059300000000004;48.3629;1787713.0984999985;6167442.218599997
34;YES;Belgium;Antwerpen;Antwerpen;BASF Antwerpen N.V.;100;1988;Other or unknown;4.2729;51.35490000000001;475657.05220000073;6684313.159000002
43;YES;Belgium;Hyoffwind Zeebrugge, 3rd phase;Port of Zeebrugge;;975;2030;Other or unknown;3.1941999999999995;51.328;355576.7175000012;6679519.497400001
44;YES;Belgium;Hyport;Port of Oostende;;50;2025;Other or unknown;2.9218;51.233;325253.28819999844;6662612.674999997
45;YES;Belgium;Hyoffwind Zeebrugge, 2n phase;Port of Zeebrugge;;24;2023;Other or unknown;3.1941999999999995;51.328;355576.7175000012;6679519.497400001
46;YES;Belgium;Hyoffwind Zeebrugge, 1st phase;Port of Zeebrugge;;1;2020;Other or unknown;3.1941999999999995;51.328;355576.7175000012;6679519.497400001
47;YES;Belgium;HRS CMB;Port of Antwerp;;1;2019;Proton exchange membrane electrolysis;4.3974;51.24230000000001;489516.32880000025;6664266.2211000025
48;YES;Belgium;HRS CMB Port of Antwerp;Port of Antwerp;;1;2018;Proton exchange membrane electrolysis;4.3974;51.24230000000001;489516.32880000025;6664266.2211000025
49;YES;Belgium;Don Quichote;Logistic Centre of Colruyt Group, Halle;;0.3;2012;Alkaline electrolysis;5.475599999999999;50.6486;609541.003800001;6559368.949699998
50;YES;Belgium;Green Methanol;Rodenhuize;;5;unknown;Other or unknown;3.7692999999999994;51.1165;419596.5566000007;6641927.153499998
51;YES;Belgium;;Antwerp, Solvin-Solvay Industrial Center;Solvay;0;2013;Other or unknown;4.2907;51.3236;477638.5390999988;6678735.671700001
60;YES;Bulgaria;;;;0;unknown;Other or unknown;0;0;0;0
67;YES;Czechia;Veolia Transport Bus Depot station;Neratovice, 277 11 Neratovice, Ke Spolane 1457, Veolia Transport Bus Yard;Veolia Transport;0;2009;Other or unknown;14.5157;50.2669;1615880.3324999996;6492627.1669000015
75;YES;Denmark;Fredericia, Denmark, Shell refinery;Fredericia refinery;;20;2022;Proton exchange membrane electrolysis;9.7529;55.5913;1085687.8618;7477481.563900001
