country;company;refinery;capacity_b_d;owner_plant_details;location;pipeline;secondary_pipeline;operator;oil_type_concawe;sources;country_code;eprtr_site_name;eprtr_facility_name;ets_name;eigl_text_lon;eigl_text_lat;x;y
Austria;OMV AG;Schwechat;193697;OMV Aktiengesellschaft;Schwechat;Adria-Wien Pipeline (AWP), a branch of the Trans-Alpine (TAL) pipeline;;;;https://www.omv.at/de-at/ueber-uns/raffinerie-schwechat;AT;Raffinerie Schwechat;OMV Downstream GmbH;OMV SNOx-Anlage;16.49960182;48.14595588;;
Czech Republic;PNK Orlen;Czech Refining Co.;66000;;Kralupy nad Vltavou;"Adria Oil Pipeline; Trans-Alpine (TAL)";Ingolstadt-Kralupy-Livinov Pipeline;Operator MERO Pipeline GmbH.It is the main pipeline in the Czech Republic allowing oil supplies other than those of Russian origin.;;"https://www.tal-oil.com/en/transalpine-pipeline/route; https://www.oxfordenergy.org/wpcms/wp-content/uploads/2019/06/The-Druzhba-Pipeline-Crisis-The-Lessons-for-Russia-and-for-Europe.pdf";CZ;;;;14.32245477;50.25819146999999;;
Czech Republic;PNK Orlen;Czech Refining Co.;108000;;Litvínov;"Adria Oil Pipeline; Trans-Alpine (TAL)";Ingolstadt-Kralupy-Livinov Pipeline;Operator MERO Pipeline GmbH.It is the main pipeline in the Czech Republic allowing oil supplies other than those of Russian origin. https://en.wikipedia.org/wiki/Ingolstadt%E2%80%93Kralupy%E2%80%93Litv%C3%ADnov_pipeline;;"https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/; https://www.tal-oil.com/en/transalpine-pipeline/route; https://www.oxfordenergy.org/wpcms/wp-content/uploads/2019/06/The-Druzhba-Pipeline-Crisis-The-Lessons-for-Russia-and-for-Europe.pdf";CZ;;;;13.602506979999998;50.57095179000001;;
Czech Republic;Unipetrol;Litvinov;108000;;Litvínov;Druzhba pipeline;;;;;CZ;001419.SITE;ORLEN Unipetrol RPA;UNIPETROL RPA, s.r.o. - RAFIN�RIE, Litv�nov;13.611633;50.559902;;
Czech Republic;Paramo AS;;20000;;Pardubice;Adria Oil Pipeline;;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;CZ;;;;15.749274680000001;50.02653168999999;;
Finland;Neste;Porvoo;260000;Stopped buying Russian crude. Product deliveries continue normally;Porvoo;Others;;;;;FI;Neste Oyj, Porvoon jalostamo, Porvoo;Neste Oyj, Porvoon jalostamo;Neste Oyj, Porvoon jalostamo;25.525959999999998;60.31311000000001;;
France;TotalEnergies Raffinage France;Plateforme de la Mede;152889;;Chatauneuf les Martigues;;;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;FR;;;;5.1024365849999995;43.39917431;;
France;TotalEnergies;Donges;220000;To end all Russian crude, product contracts by end-2022;Donges;Others;;Societe Francaise Donges Metz;x;;FR;TOTAL RAFFINAGE FRANCE;TOTAL RAFFINAGE FRANCE;Raffinerie de Donges;-2.0694176429999995;47.308358039999995;;
France;TotalEnergies;Feyzin;109000;To end all Russian crude, product contracts by end-2022;Feyzin;South European Oil Pipeline (OR Central European Pipeline);;;;"https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/; https://www.spse.fr/en/about-us-network-management-shareholders.php#network";FR;TOTAL RAFFINAGE FRANCE;TOTAL RAFFINAGE FRANCE;Raffinerie de Feyzin;4.861129999999999;45.67739999999999;;
France;ExxonMobil;Fos Sur Mer;136000;Looking for alternative sources of crude, sees no difficulties with crude supply;Fos Sur Mer;South European Pipeline;;;;"https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/; https://www.spse.fr/en/about-us-network-management-shareholders.php#network";FR;ESSO RAFFINAGE SAS;ESSO RAFFINAGE SAS;ESSO RAFFINAGE SAF;4.931109999999999;43.4483;;
France;TotalEnergies;Gonfreville;247000;To end all Russian crude, product contracts by end-2022;Gonfreville;Others;;;;;FR;USINE DE GONFREVILLE;USINE DE GONFREVILLE;Usine de Gonfreville;0.219407391;49.47576841000001;;
France;TotalEnergies;Harfleur;246869;;Harfleur;Île-de-France Oil Pipeline;;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;FR;;;;0.22706080700000003;49.487819290000004;;
France;Petrolneos Refining Ltd.;Martigues;207100;;Martigues;South European Pipeline;;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;FR;;;;5.004323982;43.39731283999999;;
France;TotalEnergies;Mormant;101498;;Mormant;Île-de-France Oil Pipeline;;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;FR;;;;2.947496985;48.58948931;;
France;ExxonMobil;Notre Dame de Gravenchon;240000;Looking for alternative sources of crude, sees no difficulties with crude supply;Notre Dame de Gravenchon;Île-de-France Oil Pipeline;;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;FR;ESSO RAFFINAGE;ESSO RAFFINAGE;RAFFINERIE DE PORT-J�R�ME / GRAVENCHON;0.56521;49.4884;;
Germany;BP PLC;BP Raffinerie Lingen;96000;Stopped all spot Russian crude oil and product purchases;Lingen;North-West Oil Pipeline Network (NWO);x;;;"https://www.bp.com/de_de/germany/home/wo-wir-sind/raffinerie-lingen.html; https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/";DE;BP Europa SE BP Lingen;BP Europa SE BP Lingen;Raffinerie als Glocke;7.311814640999998;52.56185427999999;;
Germany;OMV AG;Burghausen;74575;;Burghausen;Trans-Alpine (TAL);Other pipe from TAL to Burghausen;;;"https://www.omv.de/de-de/ueber-omv/omv-in-deutschland/raffinerie-burghausen; https://www.tal-oil.com/en/transalpine-pipeline/route";DE;;;;12.83567043;48.19598871;;
Germany;Shell OR BP PLC;Gelsenkirchen;240000;Stopped all spot Russian crude oil and product purchases;Gelsenkirchen;North-West Oil Pipeline Network (NWO);;;;https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/;DE;Ruhr Oel GmbH Werk Scholven;Ruhr Oel GmbH Werk Scholven;RUHR OEL GmbH - Werk Scholven - CO2-Glocke;7.028908505999999;51.59603275;;
Germany;AB Nynas Petroleum NV;Nynas GmbH & Co KG;58000;;Hamburg;North-West Oil Pipeline Network (NWO);;Nynas;"1; 2";"https://www.nynas.com/; https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/";DE;;;;9.974778149;53.48222553000001;;
Germany;Holborn Europa Raffinerie GmbH;Holborn Europa Raffinerie GmbH;78000;;Hamburg;North-West Oil Pipeline Network (NWO);;;"1; 2";"https://www.holborn.de/en/; https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/";DE;;;;9.952570967;53.47710157;;
Germany;Raffinerie Heide GmbH;Hemmingstedt;90000;;Hemmingstedt;;;;;https://www.heiderefinery.com/;DE;;;;9.074778966;54.15636627999999;;
Germany;Gunvor Group Ltd.;Gunvor Raffinerie Ingolstadt GmbH;100000;Not processing any Russian crude;Ingolstadt;Trans-Alpine (TAL);;;;"https://gunvor-raffinerie-ingolstadt.de/; https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/";DE;Gunvor Raffinerie Ingolstadt GmbH;Gunvor Raffinerie Ingolstadt GmbH;Gunvor Raffinerie Ingolstadt GmbH;11.472950829999998;48.789360009999996;;
Germany;Mineraloelraffinerie Oberrhein GmbH = MiRo (Shell, Exxon, Rosneft, Phillips 66);Karlsruhe;310000;Delivery of crude oil, production and product availability 'running normally';Karlsruhe;"Trans-Alpine (TAL); South European Pipeline; Central European Pipeline System";;;;"https://www.concawe.eu/oil-pipeline-map/; https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/; https://www.tal-oil.com/en/transalpine-pipeline/route";DE;MIRO-Mineral�lraffinerie Oberrhein GmbH & Co.KG Werk 1;MIRO-Mineral�lraffinerie Oberrhein GmbH & Co.KG Werk 1;Werk 1 und Werk 2;8.329053866999999;49.057799919999994;;
Germany;TotalEnergies Raffinerie Mitteldeutschland GmbH;Leuna;230000;"Will stop Druzhba supply by end 2022; to import oil via Poland";Leuna;"Druzhba pipeline; Litvinov-Spergau Oil Pipeline";MVL pipeline (indriect Druzhba Oil Pipeline);;;"https://services.totalenergies.de/; https://www.gem.wiki/Druzhba_Oil_Pipeline";DE;TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie, BB01);TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie, BB01);TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie, BB01);12.00011797;51.28764320999999;;
Germany;Bayernoil Raffineriegesellschaft GMBH;Bayernoil;92667;;Vohburg an der Donau;Trans-Alpine (TAL);Ingolstadt-Kralupy-Litvinov pipeline;;;"https://www.tal-oil.com/en/transalpine-pipeline/route; https://globalenergymonitor.org/projects/global-fossil-infrastructure-tracker/tracker-map/";DE;;;;11.59420213;48.76293951;;
Germany;Bayernoil Raffineriegesellschaft GMBH;Bayernoil;206000;"Not ""entered into any new Russian crude purchases since the beginning of the conflict""; BAYERNOIL Raffineriegesellschaft mbH";Neustadt an der Donau;Trans-Alpine (TAL);Die zwei Betriebsteile (Vohburg und Neustadt) arbeiten dabei wie eine einzige Raffinerie. Damit dies reibungslos funktioniert, sind sie durch 11 Pipelines verbunden. Transportiert werden darin unter anderem Benzin, Gas�lkomponenten und Fertigprodukte;;;https://www.bayernoil.de/unternehmen/standorte/https://www.tal-oil.com/en/transalpine-pipeline/route;DE;BAYERNOIL Raffineriegesellschaft mbH, Betriebsteil Neustadt;BAYERNOIL Raffineriegesellschaft mbH, Betriebsteil Neustadt;Standort Neustadt;11.75205286;48.78696119999999;;
Germany;Shell;Rheinland Raffinerie Godorf;327000;Stopped all spot Russian crude oil purchases;Godorf;;;;;;DE;Shell Deutschland GmbH Rheinland Nord;Shell Deutschland GmbH Rheinland Nord;Raffinerie Godorf;6.976845535999999;50.85499337;;
