technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,4078.166679414006,4087.5561652453507,4096.945651076696,4106.33513690804,4115.724622739384,4125.1141085707295,4134.503594402074,4143.893080233418,4153.282566064762,4162.672051896107,4172.061537727453,4181.451023558796,4190.840509390141
BF_BOF,coal,117931.5121469817,111046.12974871934,86870.59405699493,65069.510712605064,65887.80802316232,65046.395400474794,65645.29902941154,66236.19115012547,66827.0832708394,66999.596921828,67203.25925925924,67414.14814814813,67625.037037037,67835.92592592593
BF_BOF,iron_ore,207136.11748892942,195042.56122531474,152580.40238215777,114288.75599521659,115726.02178427226,114248.15602391087,115300.0765003767,116337.92548163062,117375.77446288458,117678.77920885175,118036.49382716048,118406.90123456788,118777.30864197525,119147.71604938273
BF_BOF,limestone,40822.44651241674,38439.04491301823,30070.590250498248,22524.061400517137,22807.318161863877,22516.0599463182,22723.37274095015,22927.912321197276,23132.451901444405,23192.168165248153,23262.666666666664,23335.66666666666,23408.666666666657,23481.666666666668
BF_BOF,scrap,18899.28079278553,17795.854126397327,13921.569560415854,10427.806203943119,10558.943593455499,10424.101826999165,10520.079972662106,10614.774222776516,10709.468472890929,10737.11489131859,10769.75308641975,10803.549382716046,10837.34567901234,10871.141975308641
BF_BOF_CCS,electricity,39.98587603780521,381.20164047966375,703.0995075589135,1060.674867144232,1803.1731465359062,2582.7881392663294,3453.26850276834,7198.168466518118,12592.442748757445,17883.895659836333,25643.841935547047,31540.992187734915,37297.46874889001,40740.74817960794
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,20669.014226346957,38712.03197981841,96737.44549934025,140558.60487847752,142238.67348329772,148254.81188874162,149619.86578644646,150966.63701154015,152313.40823663393,152866.49806939886,153361.28395061725,153842.54320987652,154323.80246913573,154805.06172839506
DRI,natural_gas,38789.79382204841,72651.34768815235,181548.35662204953,263788.0666897455,266941.07215358614,278231.63327065215,280793.4467499064,283320.9489120685,285848.45107423083,286886.4415822965,287815.012345679,288718.19753086416,289621.38271604927,290524.5679012346
EAF,direct_reduced_iron,25365.753293715752,35873.16667032136,68547.44324367314,98177.550140955,98808.45107035596,101567.1852475066,102479.36012770305,103401.80617228776,104324.25221687257,104703.08086945128,105041.97530864197,105371.60493827157,105701.23456790116,106030.86419753087
EAF,electricity,21307.23276672123,30133.46000306994,57579.85232468543,82469.1421184022,82999.098899099,85316.43560790553,86082.66250727056,86857.51718472173,87632.37186217295,87950.58793033907,88235.25925925924,88512.14814814812,88789.03703703698,89065.92592592593
SMR,natural_gas,371255.3108929198,370468.6661545551,369386.84029833256,368838.4250135106,367536.01676955365,366300.39491317666,366308.2185127422,396414.85187086486,423245.76382829074,428417.90495662246,484758.6907091738,495368.0337902019,472754.74758541345,401987.80801074614
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,913.2814259511382,1564.7148269409518,9812.354404403888,40027.80970860387,56926.988365685655,71528.88480440715,82217.0425300279,110207.98496753971,125644.34561577076,137571.77336567346,144044.39474800258,154612.90363140896,156884.57385920186,158350.57451102187
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,2100.559883046916,3598.86569515836,22568.550541432192,92064.51471687721,130932.85883823004,164517.42215466936,189100.3324210587,253479.88630465916,288983.72881864564,316416.9772429124,331304.09574498044,355611.8120231128,360836.68489627365,364208.50662639004
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,coal_for_cement,115075.85678066837,115728.17072440786,116380.48466814728,117032.79861188677,117685.17156272384,118337.48583353232,118989.80010434077,119642.11437514923,120294.4286459577,120946.74291676619,121599.05718757461,122251.3714583831,122903.68572919157,123555.99999999999
cement_plant,electricity,20050.44712336292,20164.104206635475,20277.761289908016,20391.41837318057,20505.08573766,20618.742877920005,20732.400018180004,20846.057158440002,20959.714298700004,21073.371438960006,21187.02857922,21300.685719480007,21414.342859740005,21528.0
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,electricity,0.0,1.3167310607234948,4.474691054691261,18.671977226795317,60.33498716395759,65.30144670039276,548.1231987483575,949.8744813861466,4608.02627477035,8630.905130732575,12209.37764435169,14753.480870203937,14792.355708857964,14831.26675761616
e_haber_bosch,hydrogen,0.0,8.849517449301839,30.073610131872393,125.49106891326737,405.50081762138086,438.8795170687724,3683.839438727518,6383.939020208494,30969.732652175095,58006.79260631939,82057.07583858333,99155.54534505484,99416.81628584859,99678.33058837222
e_haber_bosch,nitrogen,0.0,1.2398966395599955,4.213582080104014,17.5824224915933,56.814295693291875,61.49095038263529,516.1388931005699,894.4470230901585,4339.136869720821,8127.271078481589,11496.931122770528,13892.579812560458,13929.186210972657,13965.826706542448
electrolysis,electricity,1408.8248107585578,1331.576536396822,1197.092553183904,1175.0457080550489,1105.755203856546,1457.0053331408224,1410.7595466882044,3883.475203160701,30401.166908108888,84371.99856001709,136889.72804207384,216990.96975044344,328008.1689622178,481445.80087490415
gasification,dry_biomass,13032.880579152523,13032.880579152523,13032.880579152523,13038.276568385561,13051.301033743812,13064.325499102064,14096.130104581103,42585.03144607888,82808.97285365593,119324.12979105103,147995.3922295953,164195.87275631292,189320.72470542492,201220.67500498242
gasification,electricity,751.4773971487288,751.4773971487288,751.4773971487288,751.7885305101724,752.5395226847136,753.2905148592548,812.7844873991213,2455.457824096556,4774.77492429165,6880.243084238171,8533.43138282123,9467.552958234919,10916.254819024438,11602.407325601938
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
