technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12207.38354398255,11960.573980301537,11713.763818559484,11466.953656817434,11220.143495075383,10973.333333333332
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12180.52727828579,11934.260717544874,11687.993538158655,11441.726358772436,11195.459179386218,10949.192
BF_BOF,steel,153423.18677383265,139172.56873936902,123020.96789652409,79030.75650899143,76798.61732809193,77461.65284592866,78070.69449170114,80659.87168887835,80847.38169108654,81001.38993049669,81152.1437640088,81253.92210202098,81407.82524854143,81561.7283950617
BF_BOF_CCS,carbon,6.84081132186496,1591.226975277044,3105.3244964185624,4561.723513397846,8283.237188981348,12092.561347993753,15780.559812776053,19510.961308270093,23273.98239622864,27194.328224455447,35428.1458237599,43885.14067464768,59111.616523127,63477.689117610375
BF_BOF_CCS,coal,1.2292937945391331,285.9434874572848,558.0268120064156,819.7417153575929,1488.4977228599482,2173.033274234477,2835.766598355857,3506.1197470961356,4182.334636602286,4886.820781934644,6366.4378045296535,7886.159779234188,10622.357489205922,11406.940734434584
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,3470.740646628571,22391.184776274917,39481.92864106581,58535.552967270305,85739.62040446457,89256.12395111466,89978.16152344357,98216.55099617483,98444.92586122132,98632.45611134963,98823.24076737602,99063.00091890231,99250.63626192036,99438.27160493826
EAF,steel,23136.812862167313,37728.96938616944,54222.10871855289,98553.85859562403,101127.53626606196,100806.03923776375,100538.53608152975,98290.89737389103,98444.92586122132,98632.45611134963,98823.24076737602,99063.00091890231,99250.63626192036,99438.27160493826
SMR,electricity,12050.237635836433,12007.782912921166,11955.072083482304,11887.627074168697,11674.023301474643,11469.414279198285,11238.364178230442,10916.29781556478,10630.581161880424,10775.861944146687,11249.33840873871,10814.348369198093,12036.293323736067,11032.319389538738
SMR,hydrogen,291773.30837376346,290745.34898114204,289469.0577114359,287836.0066384672,282664.0024570131,277709.7888425735,272115.35540509544,264317.138391399,257399.05960969548,260916.75409556142,272381.0752721237,261848.62879414266,291435.67369820987,267126.37747067155
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
