carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,2.407450470145906,3.4482264049326417e-13,3.582380160745136e-13,7.247864418011285e-13,1.0116736550054573e-12,5.664434578941252e-13,6.873303142353242,8.709837620015855e-11,1.1590647061923698e-12,4.805287214687017e-10,1.8793047603131094e-10,2.0839206987637027e-10,3.4167655683925435e-13,1.0157694997625644e-12
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,6.078471059822732e-14,3.039235529911366e-13,4.254929741875913e-13,3.039235529911366e-13,3.6470826358936397e-13,1.2156942119645464e-13,6.078471059822732e-14,3.039235529911366e-13,2.431388423929093e-13,0.0,0.0
oxygen,14156.385579915725,14189.05485594185,14221.709263737732,14254.357312190838,14287.002075555876,14319.653571059964,14352.263167677755,14384.91832077947,14417.31292200081,14449.847358671293,14482.099520300604,14519.398248160329,14764.856360167249,14879.652335370149
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
