carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,6.125959114977598e-13,8.015983710141229e-13,4.587346127959968e-13,1.0428376912008375e-12,1.3287157832331253e-12,1.0057970081800427e-12,4.107938876030875,6.496365945185545e-13,7.751950123480178e-12,8.842275869835881e-13,6.553351611371383e-13,7.465122270344793e-13,2.5891437431535543e-11,3.0439843354268525e-13
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,6.078471059822732e-14,0.0,0.0,6.078471059822732e-14,0.0,1.8235413179468196e-13,1.2916751002123306e-13,3.7990444123892075e-14,1.3676559884601147e-13,1.519617764955683e-13,3.039235529911366e-13,0.0,0.0,0.0
oxygen,14154.616795522705,13690.526160638408,13226.518327315,12762.7104944121,12299.09217615529,11835.228901945013,11371.361771732762,10907.476310386524,10443.768599326528,9980.301677395018,9517.510489717728,9055.750003124705,8593.555196932452,8386.690050009258
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
