technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.5378519674828,3714.728016563689,3643.918181159894,3573.1083457561,3502.298510352305,3431.488674948511,3360.678839544716,3289.869004140922,3219.0591687371275,3148.2493333333327
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,114860.06378848766,112668.13226789473,110316.61962412215,108030.9123137003,105723.87842049055,103435.03189692728,101158.93819188113,98874.7605200255,96535.38882417485,87291.97927293037,77501.35407278483,68635.78204009417,47590.21876429863,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,146.71979906847633,5520.5207031385635,12738.977528378828,12792.402699301638,14644.218843083572,18009.32343723611,20041.36607829038,24564.69749619134,26282.385503690504,26466.997442939515,26486.152621372687,26435.13547295103,20785.69570966894,177.86740081861325
biomethane_conversion,biomethane,337.4575626028711,12697.273800861502,29299.824114215986,29422.70274461023,33681.9054305248,41421.69243579767,46095.41855257918,56499.143236099495,60449.8493575843,60874.459365517076,60918.516540256416,60801.17639484574,47807.38697656042,409.0974764676693
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,electricity,18.68493304115045,13.23998798310075,105.83130506238012,508.494294165298,1121.673145328796,1854.4356681843951,2739.778260607372,3606.057621240058,4418.091492274908,5457.81842326134,6330.678626679695,10885.687886457965,11159.24263902997,10228.826582605272
e_haber_bosch,hydrogen,125.57814265871593,88.98362633035904,711.2735537029986,3417.5005536921744,7538.567569406576,12463.33537175645,18413.56693685092,24235.677880050458,29693.214445792688,36681.03594763971,42547.3755756482,73160.79021173237,74999.30350304581,68746.14112840203
e_haber_bosch,nitrogen,17.59462230305128,12.467402871958715,99.65579412624578,478.8224303181239,1056.2208222032025,1746.2248912079601,2579.905616109688,3395.6354946001916,4160.285238149027,5139.3416045126805,5961.268317800216,10250.481842740166,10508.074018217008,9631.949974238145
electrolysis,electricity,1130.6386981669946,1100.9659412226183,1092.10418359263,1089.6629208565078,1112.8802286956902,1114.2158355472463,1100.2081922771706,1095.9265813007298,1106.4911506870342,1063.8726008809192,1051.4975337039762,999.8986295276129,15866.118989321722,70934.10644456444
gasification,dry_biomass,19442.4095617805,19354.056070613115,19442.4095617805,19442.4095617805,19442.4095617805,19442.4095617805,19442.4095617805,19442.4095617805,19495.631851373568,28178.113755075563,37508.98250510349,45731.48508130682,53681.72739599395,53100.171017959656
gasification,electricity,1121.0515774354185,1115.957104945762,1121.0515774354185,1121.0515774354185,1121.0515774354185,1121.0515774354185,1121.0515774354185,1121.0515774354185,1124.1203807909615,1624.7532886242343,2162.772256788781,2636.8827035535583,3095.2945922421954,3061.761984419523
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,electricity,11255.690294222017,11063.636048448794,10798.222860527037,10300.78807820773,9645.827696589087,8901.384796335851,8042.768709015036,7198.417328319907,6394.656966156797,5420.517586592847,4571.2418681610725,966.6738352448767,565.8486486821109,1065.9352574097836
haber_bosch,hydrogen,101094.6862205812,99369.72193973733,96985.87321519238,92518.08741803089,86635.46160514417,79949.135005622,72237.34464335522,64653.67490298337,57434.57954006884,48685.1992410495,41057.30081586871,8682.327382612242,5082.255294126482,9573.858871597966
haber_bosch,natural_gas,4319.844440137195,4246.1355476462495,4144.272076440805,3953.3605621255965,3701.991975296423,3416.280709297093,3086.750681900266,2762.695335486692,2454.2184992436637,2080.351550817744,1754.406282734601,371.0017318753274,217.16821226178874,409.0974764676693
haber_bosch,nitrogen,14164.27081367694,13922.58787136599,13588.58931836965,12962.61252043572,12138.40396680859,11201.589736061782,10121.098849418004,9058.558809185448,8047.098903894562,6821.232375788856,5752.495500759269,1216.4718140772686,712.069476858375,1341.3833590951865
