technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,4078.166679414006,4087.5561652453507,4096.945651076696,4106.33513690804,4115.724622739384,4125.1141085707295,4134.503594402074,4143.893080233418,4153.282566064762,4162.672051896107,4172.061537727453,4181.451023558796,4190.840509390141
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,113988.49758018521,114171.79619441617,114288.23879888555,114380.58974492806,114451.69084080782,114502.59149310006,114577.65881281119,114608.10915713095,104816.0691751868,95015.4469500359,85461.50571501834,76029.84139669768,15921.126286685447,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,146.71979906847633,14657.315785333441,14681.943628886074,14705.361874233065,17734.47717889121,21864.44920138532,26624.248403877944,31363.718905267768,31528.713563390505,31584.21989570201,31601.2148860752,31529.40257277004,7133.797652841415,212.6644811855803
biomethane_conversion,biomethane,337.4575626028711,33712.02857843839,33768.67295847572,33822.535245947525,40789.54224870328,50288.5348943956,61236.13874575175,72136.9863040337,72516.47629465593,72644.14162496437,72683.23033735498,72518.06102573725,16407.833048533546,489.1312415142838
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,electricity,0.0,1.6788321024224444,3.3576642048444905,12.260960727102077,27.259258294476563,49.270794674029595,271.0465270764392,486.6564624530739,1736.9043562671416,3627.609243763061,6399.489417946772,10113.518973796336,13783.0105615778,13809.323795043636
e_haber_bosch,hydrogen,0.0,11.28313474785977,22.566269495716863,82.40375664873866,183.2046718784386,331.14032942248264,1821.6559497105302,3270.732334610247,11673.428133539117,24380.522537602083,43009.840779198326,67971.17900695614,92633.18539897939,92810.03200467542
e_haber_bosch,nitrogen,0.0,1.5808682154389835,3.161736430877592,11.545504208701384,25.66861507592015,46.395725419595365,255.23031096557142,458.25888855707063,1635.5518137389672,3415.929528165903,6026.063834062006,9523.370841458105,12978.738778236302,13003.516571305392
electrolysis,electricity,1432.5833203663121,1436.063067392378,1435.819203304079,1433.982700476527,1431.3234776461686,1430.3502569412003,1418.883846648678,1418.8266375320302,1353.516613366053,1323.2250341712136,1222.240280088179,2385.1214877015213,55679.60854133659,76250.96254124315
gasification,dry_biomass,20213.15333205114,20358.66612692673,20591.053409518696,20855.004958550435,21146.19668179442,21460.7356418221,21756.09284797971,22095.084187278346,34700.32021368358,47280.0668271869,59626.42532082765,70516.29070246751,90530.55781303973,89445.39573424039
gasification,electricity,1165.492752111573,1173.8830366446687,1187.2825141578762,1202.5019909139999,1219.2921392565447,1237.428491964446,1254.4588225321552,1274.005102248674,2000.824465169926,2726.174105603808,3438.0665601320425,4065.9774538591837,5220.002403504677,5157.431832899966
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,electricity,11269.671926039993,11294.422618467916,11319.17331089583,11338.518053975267,11353.302006798971,11362.838066964594,11222.893824843091,11087.56334845941,10178.030097684332,8789.253284131299,6741.10732012768,3987.9662810560194,1268.1522798751307,1274.469450001361
haber_bosch,hydrogen,101220.26436323993,101442.56645394575,101664.86854465153,101838.61628295216,101971.40059317608,102057.05016108567,100800.11976625126,99584.62860680516,91415.51803332992,78942.00885472057,60546.27583857797,35818.52283627378,11390.101669704156,11446.840289461765
haber_bosch,natural_gas,4325.210479259998,4334.709598219337,4344.208717178675,4351.6330757611495,4357.307039306639,4360.966903376319,4307.257415956599,4255.318655142679,3906.247025258054,3373.245526478526,2587.183390446556,1530.5497500689005,486.70676184810065,489.1312415142838
haber_bosch,nitrogen,14181.865435979991,14213.011949539898,14244.158463099797,14268.502077097315,14287.106348005433,14299.106619437096,14122.999415666458,13952.698219850296,12808.132676443738,11060.482343792139,8483.075419671377,5018.495794050617,1595.8552390477562,1603.804827754006
