technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12207.384142043587,11960.573980301537,11713.763818559484,11466.953656817434,11220.143495075383,10973.333333333332
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12180.527896931093,11934.260717544874,11687.993538158655,11441.726358772436,11195.459179386218,10949.192
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,3652.668541206238,3582.9628572141783,3508.1823288490377,3435.494477982462,3362.1284197784403,3289.340738694924,3216.9586103986226,3144.319403616735,3069.9249699225547,2775.975008833468,2464.6230254916563,2182.6886873457224,1513.4180603415214,0.0
SMR,hydrogen,88442.33755947306,86754.54860082755,84943.88205445612,83183.88566543491,81407.46779124552,79645.05420568823,77892.46030020877,76133.64173406138,74332.32372693837,67214.89125504764,59676.102312146635,52849.60502047754,36644.50509301504,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,337.4575626028711,12697.273800861502,29299.824114215986,29422.70274461023,33681.9054305248,41421.69243579767,46095.41855257918,56499.143236099495,60449.8493575843,60874.459365517076,60918.516540256416,60801.17639484574,47807.38697656042,409.0974764676693
biomethane_conversion,natural_gas,337.4575626028711,12697.273800861502,29299.824114215986,29422.70274461023,33681.9054305248,41421.69243579767,46095.41855257918,56499.143236099495,60449.8493575843,60874.459365517076,60918.516540256416,60801.17639484574,47807.38697656042,409.0974764676693
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,ammonia,21.3786419235131,15.14872766945166,121.0884497281237,581.8012519053754,1283.3788848155561,2121.7799407144107,3134.7577352487097,4125.92405176208,5055.024590703556,6244.643504875675,7243.339389793701,12455.02046505488,12768.01217280317,11703.46290915935
electrolysis,hydrogen,723.6087668268766,704.6182023824757,698.9466774992832,697.3842693481649,712.2433463652417,713.0981347502376,704.1332430573892,701.3930120324671,708.154336439702,680.8784645637883,672.9584284517031,639.9351297788306,10154.3161531659,45397.82812452125
electrolysis,oxygen,4.514595096232882,4.396112964664265,4.360728320918026,4.3509804564631995,4.4436862379727415,4.449019262706731,4.39308730343505,4.3759910020705615,4.418174905047299,4.248000740413474,4.1985930338466595,3.992564984049771,63.35277847960206,283.23704966888806
gasification,hydrogen,12054.318036939983,11999.538762857655,12054.318036939983,12054.318036939983,12054.318036939983,12054.318036939983,12054.318036939983,12054.318036939983,12087.315922483456,17470.46546907779,23255.615664395496,28353.57745756514,33282.73755099135,32922.171875478736
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,ammonia,17210.535618076476,16916.874691817728,16511.044129246235,15750.440486556161,14748.97201313316,13610.680116721485,12297.811481674367,11006.754324648175,9777.762945193877,8288.253190508938,6989.666465078092,1478.0945493040929,865.2120010429829,1629.8704241739813
pv_ground,electricity,5424.207717709154,6447.597584769896,6447.597584769896,6447.597584769896,6447.597584769896,6447.597584769896,6474.71701576633,6498.098329566412,6531.956734336743,7224.462386447613,7261.411815651111,7422.962883315877,2253.345252986263,2007.5657298430535
wind_offshore,electricity,136.07628872794567,136.07628872794567,136.07628872794567,136.07628872794567,136.07628872794567,136.07628872794567,136.07628872794567,136.07628872794567,136.07628872794567,153.9404069251553,325.7165215344028,623.0607386893707,15409.965504193467,37557.07662264
wind_onshore,electricity,6393.867198263811,6393.867198263811,6393.867198263811,6393.867198263811,6393.867198263811,6393.867198263811,6393.867198263811,6393.867198263811,6393.867198263811,6438.606387957021,7028.018292616932,8161.567204856315,14254.459189527262,48410.29609655965
