technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13716.995445178118,13252.125454376237,12787.255463574358,12322.385472772477,11857.515481970599,11392.645491168718,10927.775500366839,10462.905509564958,9998.03551876308,9533.165527961199,9068.295537159318,8603.425546357439,8138.555555555554
ASU,oxygen,14150.665332020835,13686.818055198726,13222.97077837661,12759.123501554493,12295.276224732379,11831.428947910263,11367.581671088148,10903.734394266032,10439.887117443915,9976.039840621801,9512.192563799685,9048.345286977568,8584.498010155452,8120.650733333332
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,3795.239992196196,3664.3257443301322,3523.853757544158,3386.562648617008,3248.017018951994,3111.09291210766,2974.194330649036,2837.4170948922365,2692.8161202024244,2550.6025073475616,2318.579340430358,1999.2567193162665,1819.82061343439,0.0
SMR,hydrogen,91894.43080378199,88724.59429370779,85323.33553375684,81999.09560815999,78644.47987777225,75329.126201154,72014.39057261588,68702.59309666432,65201.35884267372,61757.92995998938,56139.935603640624,48408.15301007909,44063.45310979152,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,171.1743311522521,342.35271576390824,23978.582010325594,24137.626452159275,26117.743883261188,35733.77122044168,41019.269996851915,43427.602781380025,54505.98893698397,55449.13232908967,57061.48862854395,57320.971324971666,57199.48001449846,251.54704813260807
biomethane_conversion,natural_gas,171.1743311522521,342.35271576390824,23978.582010325594,24137.626452159275,26117.743883261188,35733.77122044168,41019.269996851915,43427.602781380025,54505.98893698397,55449.13232908967,57061.48862854395,57320.971324971666,57199.48001449846,251.54704813260807
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,ammonia,39.018625660820696,0.0,86.79538058110278,772.9695343122488,1941.1444791091944,3550.712417176891,5146.113476312097,6861.779437240181,8437.739682515577,9689.517017978413,10222.518342258723,10197.429909979743,9769.924026439956,8886.709414256984
electrolysis,hydrogen,633.3488542828828,594.342913877681,568.6085812455183,574.9307353110872,611.6286941675602,609.0645992545294,605.8824562613869,599.7621606816515,622.1320536323661,683.0959513451617,852.3679452555685,1186.8423739317218,1451.7038868490363,42641.33942553707
electrolysis,oxygen,3.9514635018709043,3.7081054396828503,3.5475489383907868,3.586992857605872,3.815951422911407,3.7999540347490077,3.780100644614792,3.7419161204928226,3.8814818826123307,4.261836773218957,5.317925918043742,7.404716147136163,9.057186776998773,266.0393166759258
gasification,hydrogen,8692.48470517506,8583.409384123222,8692.48470517506,8692.48470517506,8692.48470517506,8692.48470517506,8692.48470517506,8692.48470517506,8853.431294683667,8917.978514862398,11048.783105769464,15128.173505862022,15890.094114962541,15445.993907796254
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,ammonia,17192.89563433917,16667.06615452991,16015.422668478725,14764.400409277494,13031.377359010465,10856.961315472683,8696.712150867392,6416.1980844692225,4275.38973372374,2458.7642927908214,1360.914863040425,821.1551898493216,683.8129679190226,1002.1794746319048
pv_ground,electricity,5654.996095017717,6554.388547075189,6554.388547075189,6554.388547075189,6554.388547075189,6554.388547075189,6554.388547075189,6567.9187385991845,6622.129302891767,6653.97024575485,6978.883366535473,7452.752330461746,7452.753801573099,941.5696127011261
wind_offshore,electricity,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,131.6720304685164,170.97957966743445,37557.07662264
wind_onshore,electricity,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5166.634893136802,5421.5460317918805,5465.303909175642,39978.19535515865
