carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,19442.4095617805,19354.056070613115,19442.4095617805,19442.4095617805,19442.4095617805,19442.4095617805,19442.4095617805,19442.4095617805,19495.631851373568,28178.113755075563,37508.98250510349,45731.48508130682,53681.72739599395,53100.171017959656
electricity,1988.0229505410905,731.2625118033127,558.6440487818494,463.30900829211913,447.301008476383,438.9340836100255,430.5671587436681,422.2002338773108,413.8333090109533,405.4663841445959,397.0994592782385,388.7325344118811,474.3760309646167,463.9411532841024
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,118842.45066602199,104216.99401467948,85161.06758634692,82561.57013121567,75743.9649652621,65429.62017042665,58150.27032120222,45138.312619412725,38539.75796583401,28497.87145823104,18337.243815263017,8205.60737712377,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,146.71979906847633,5520.5207031385635,12738.977528378828,12792.402699301638,14644.218843083574,18009.32343723611,20041.36607829038,24564.69749619134,26282.385503690504,26466.997442939515,26486.152621372687,26435.13547295103,20785.69570966894,177.86740081861325
