carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,1.6548575506406953,4.796293570641375e-13,6.139621205845394e-13,0.24806967313935713,8.34210199291037e-11,9.161633040752348e-13,22.755356212568557,4.886621787552822e-11,7.562051326922766e-11,4.636911785527859e-13,2.7029874513770022e-11,5.358730223881808e-13,5.687445880667662e-13,4.516865321100238e-13
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,6.078471059822732e-14,1.8235413179468196e-13,3.039235529911366e-13,6.078471059822732e-14,2.431388423929093e-13,1.2156942119645464e-13,1.2156942119645464e-13,1.8235413179468196e-13,6.078471059822732e-14,1.3676559884601147e-13,0.0
oxygen,14156.232856624858,14188.901686050696,14221.535640280661,14254.169709566437,14286.776663035234,14319.358033072307,14351.617364197877,14384.268118470989,14416.907407268016,14449.571268777725,14482.067355167956,14514.411177588274,14545.033643025548,14577.638537114992
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
