carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,5.318662177344891e-13,7.45562465931382e-13,6.838279942300574e-13,1.0143448581079184e-12,3.577750075367536e-12,1.2983234279340117e-12,42.86160446725351,1.2046532391410403e-12,8.785290203650042e-13,1.9401838534209574e-12,3.1184070218648677e-13,4.245433290221286e-13,6.629926100308603e-13,6.413878636880899e-13
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,2.583350200424661e-13,0.0,1.519617764955683e-13,1.2156942119645464e-13,2.73531197692023e-13,2.431388423929093e-13,1.0637324354689781e-13,3.951006188884776e-13,6.078471059822732e-14,6.078471059822732e-14,3.039235529911366e-14
oxygen,14154.424945968622,13690.363983326604,13226.332386078893,12762.53655177966,12298.957772178172,11835.094655418823,11371.061323113465,10907.237685875438,10443.363555832517,9979.683536804747,9516.402460626454,9053.014717453458,8587.246694149157,8123.289175937822
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
