carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,11137.85319748927,11137.85319748927,11137.85319748927,11137.85319748927,11150.502276164922,11220.138343627772,12456.753362851498,16341.819823477415,18786.29470313054,22443.820277437382,26603.63006935561,25356.93595187112,44979.261984985686,47777.02551665851
electricity,1930.5650369494338,748.2507780058118,544.9214040727892,466.55771174629984,447.301008476383,438.9343037766254,430.5671587436681,422.2002338773108,413.8333090109533,405.4663841445959,397.0994592782385,388.7325344118811,392.0029411855925,384.25651431615705
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,125792.40497122542,120761.21664860094,105884.93640717462,90950.41160105815,80430.49005485751,69956.56461456163,60493.09806318097,53326.91754929728,44909.19215918376,37603.21066182276,30735.75394436143,28265.948741448225,5635.016868821842,523.8817093431919
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,29.75252395782012,1204.8088346908928,6645.410646310461,12058.183979732446,15518.08659635064,18932.221453827548,21519.86093184253,22169.569620537015,23876.776534650966,24671.537238227957,25087.039223306878,25082.764137831444,27241.61181402983,27456.01173738419
