carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,11721.137477428272,11862.01797377529,12061.96298056112,12264.260890706428,12568.123658780894,12919.021551194575,18315.37439250565,21088.734236410586,27532.793676889643,32004.987116919972,38516.18192153528,38360.37404400283,51754.68791644122,61865.46454747265
electricity,1473.943335854406,481.8781741909091,482.9876404400056,484.0971066891023,485.2065729381986,486.31603918729513,487.4255054363917,488.5349716854881,489.6444379345846,490.97183682247913,492.13470996633714,493.2441762154337,516.7592596046547,517.8687258537511
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,125114.80136283375,120516.54139756551,105359.53318595525,90231.71220529299,79613.23079158389,69015.70322134627,62794.51014548449,54286.357274989685,49057.93224875938,42493.56973573696,37311.89858744568,35202.86123024451,12217.870753581026,4390.865545823141
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,29.75252395782012,2114.470697522697,8772.400268757916,15416.29081332777,20066.392640925438,24692.3262760205,25653.546932505753,28492.75676338313,28641.511808757994,30058.248744631237,30124.356892233936,30140.908998381467,35758.405258332285,35752.28342177765
