technology,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,1.6189344104999972,1.6226704129857674,1.6264064154715372,1.6301424179573063,1.6338784204430754,1.6376144229288445,1.641350425414614,1.6450864279003834,1.6488224303861523,1.652558432871921,1.656294435357691,1.66003043784346,1.663766440329229,1.6675024428149985
BF_BOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,10.602973443519488,10.618599112378742,10.63441203478104,10.651644800114362,10.66482834957543,10.680769885578947,10.69735684881388,10.709683168303474,10.88982523279599,11.24878518625969,11.67135372344907,12.080865457686212,12.135132462113928,12.165085519836788
SMR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,0.1004799728480053,0.1901217257627455,2.8591512388387463,4.303601734237569,6.414361854869768,7.236091857282294,7.803306622998403,9.765648568412587,10.020379119961298,10.533975579380362,11.101630338280575,11.586612340805814,11.659678491869132,11.6626530267057
biomass_to_coal_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,5010.0
carbon_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,0.0,0.00021927631610579775,0.00043855263221160787,0.001582324554140214,0.0038506400148424725,0.006882552999866643,0.035577629774151215,0.06341004976399002,0.3420193160893425,0.5609776510094358,1.0048958301829756,1.4958865427716674,1.502032372648527,1.5074394855397886
electrolysis,0.12673616059402149,0.12700863121133957,0.12730868749936083,0.12773607647305263,0.12805643657280885,0.12844969577285512,0.12721355126103406,0.12747102644060973,0.1320691528918742,0.14020800006960102,0.15116320765615907,0.163243577140249,0.12587442313736885,0.1284233324535749
gasification,1.4332637632548995,1.445434023856875,1.4575135251907485,1.4679402780434807,1.4825232756423954,1.494275387598576,1.5205188314816167,1.5400600385850103,1.587028478134329,2.1701792001272566,3.1501391229900904,3.3206458156060163,3.511305752107042,3.542946622743389
gasification_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
haber_bosch,1.9671134999999988,1.9714337163762001,1.9757539327524023,1.9791496535227815,1.9814208307543861,1.9829284104616696,1.9836145876814417,1.9843007649012139,1.984986942120986,1.985789206802226,1.9863184509722362,0.5284688240969699,0.5251837245822135,0.5223321579114328
hydrogen_for_cement_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_pipeline,6.088726813099137,6.108976330519588,6.132948880324715,6.166480370384923,6.1942263277314735,6.227350968605226,6.2757790250482905,6.321287339211177,6.547280991930434,8.242212156926653,10.562546104359297,11.621177835158383,11.878351821130913,11.972583230040993
methanol_from_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,6.930730066859955,8.077411221698785,8.110163212488175,8.145092248933128,8.187074882928982,8.228168900778865,8.302941114516296,8.378138137148536,8.983197108492863,10.126729109387687,12.288877606972333,13.168197783195524,13.220349974250917,13.284308320137852
refinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,0.0351782342267243,0.0352594147672475,0.0353405953077707,0.035440310628003416,0.03552149116852661,0.035602671709049814,0.035683852249573114,0.03607426406152211,0.03656357831884241,0.03705289257616291,0.03761863583077742,0.03779871881667192,0.08652036911630101,0.0868277685160239
wind_onshore,2.3045280522079072,2.3085656510856594,2.3118128615328346,2.31529073089559,2.3182544694332083,2.321278649431898,2.324038965998643,2.3267992825656303,2.3293834341228843,2.331587294949111,2.333358832299226,2.522098252660233,5.887530070664667,11.085657869217135
