technology,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.6189344104999972,1.0351935544702404,1.0351935544702404,1.0351935544702404
BF_BOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,11.086719611934019,11.086719611934017,11.086719611934017,11.086719611934017,11.086719611934017,11.086719611934017,11.086719611934019,11.086719611934017,11.086719611934017,11.096590702430287,11.86491644122626,11.902514683883844,11.98052650895155,11.98052650895155
SMR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,0.028791822499703402,0.1089193779964175,1.0444860620537224,2.860329989387699,3.5367621916518206,4.47508916839136,5.1103985202902305,5.426026242899133,6.7280204594803035,6.825035124523011,7.933886550735921,8.171069939986735,8.277078937144447,8.014553723169847
biomass_to_coal_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,5010.0
carbon_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,0.004454181011509,0.004454181011509,0.0136905380108422,0.0850916249400895,0.2040927978074433,0.386492245837387,0.5682891709335867,0.7633366291671623,0.9455949602871804,1.0900392732228485,1.1712505515979519,1.2277052599623532,1.2357284769448686,1.2271948098522538
electrolysis,0.0801844311491142,0.0801844311491141,0.0801844311491141,0.0801844311491141,0.0801844311491141,0.0801844311491141,0.0758791231942228,0.0767018413798885,0.0786230209644203,0.08596627259956939,0.12336068482767357,0.17960259069681409,0.166529308847259,0.1657065906615933
gasification,0.996069324285277,0.996069324285277,0.996069324285277,0.996069324285277,0.996069324285277,0.996069324285277,0.996069324285277,1.0092096800873618,1.0215710941611607,1.0333597998879103,1.164660410793708,0.8581889895938533,0.8581889291980993,0.8581889291980994
gasification_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
haber_bosch,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,1.9626593189884893,0.05234112478494896,0.05234112478494896,0.11663603338909097
hydrogen_for_cement_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_pipeline,4.299118378986038,4.299118378986038,4.299118378986038,4.299118378986038,4.308345134281197,4.339987813051305,4.385544083194791,4.465430001619722,4.542255941586547,5.1039650472997184,6.861043148151066,7.235145339802614,7.853762688743919,7.931815276805785
methanol_from_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
