technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3935.405993221602,3802.0347928605424,3668.663592499483,3535.292392138424,3401.9211917773646,3268.549991416305,3135.1787910552457,3001.8075906941867,2868.4363903331273,2735.065189972068,2601.6939896110084,2468.322789249949,2334.9515888888886
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,119822.84200887571,115768.54922785936,111482.40756375293,107158.74531238641,102775.70557867394,98461.8702195936,94167.2555342832,89706.80612273146,85235.27529833282,80721.95911134138,74591.95045945454,72971.25480550462,68832.92017513892,66463.91141132075
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,104.17569965619619,394.0963587494812,3779.2003717969706,10349.35797812496,12796.851461442046,16191.942873565458,18490.64404932017,19632.66063524532,24343.587095772833,24694.609355924644,28655.669679892642,29564.88523595886,29927.177033746902,28934.394861353867
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,239.6055468425323,906.427063686189,8692.213008411081,23803.666171684436,29432.934958926457,37241.69205935291,42528.736485855305,45155.3903934066,55990.5862637951,56797.942306280514,65908.43571436736,67999.64404056962,68832.92017513892,66549.50747815876
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,electricity,34.102278827557356,0.0,75.85916262788369,622.523020419069,1546.8710665112023,2943.073378171048,4342.685597617441,5844.288433694806,7239.701958749133,8345.602285219713,8911.666421882692,9229.507164027082,8850.189390508376,7879.728726363891
e_haber_bosch,hydrogen,229.19540713166117,0.0,509.8360655333968,4183.8675308256425,10396.247877216021,19779.877601117547,29186.42471442202,39278.432791216575,48656.761219327695,56089.32245238054,59893.73977361433,62029.89139759162,59480.56347808489,52958.26835087127
e_haber_bosch,nitrogen,32.11232891885549,0.0,71.43259821824746,586.197306412922,1456.6074230420131,2771.3379750969934,4089.2794586260343,5503.260161248084,6817.2479542912315,7858.616339514671,8391.649273695028,8690.943244844724,8333.759574815094,7419.927622193915
electrolysis,electricity,1042.6481812858465,972.3440898190918,921.1402985816852,931.3547235269501,1013.0077533583307,1011.3991866987827,986.665723784899,990.5866763612446,1017.9686437619729,1103.0706740304752,1583.3682688530791,2322.520216891832,2109.762906677506,0.0
gasification,dry_biomass,13369.794093748784,13293.797959336733,13369.794093748784,13369.794093748784,13369.794093748784,13369.794093748784,13369.794093748784,13546.171226453409,13712.092971903052,13870.327508752714,15628.444783748653,11519.087883391145,11519.087072725888,11376.418386472842
gasification,electricity,770.9038692532934,766.5219233792026,770.9038692532934,770.9038692532934,770.9038692532934,770.9038692532934,770.9038692532934,781.0737950648936,790.640862041654,799.7646836840488,901.1379285068043,664.1919357402048,664.1918889971525,655.9655960952163
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_methanol,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,hydrogen,0.0,103.99689223049026,135.92955324636122,131.16129396713197,126.39303468790276,121.6247754086735,116.85651612944424,112.088256850215,107.31999757098576,102.55173829175652,97.78347901252728,93.015219733298,88.24696045406878,143.3231370467947
haber_bosch,electricity,11244.153744857816,10900.261265062563,10474.086425185087,9695.616081146512,8634.530795290068,7220.364628791419,5803.646883697347,4310.611217234102,2897.035286936838,1700.0973793784424,907.1101218591439,299.86439753796503,214.2910636557627,571.0603504477665
