carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,5.585782487591007e-13,6.824033525754114e-13,-0.06938618043295021,6.393079425223713e-13,1.0642162200308683e-11,2.3721470751233986e-12,1.332289259383529e-11,1.2384587984044099e-12,1.2441870450574655e-12,3.6024438640480665e-12,7.122268009737697e-10,1.3876009716251583e-12,1.2736296392534818e-12,7.189691550446576e-13
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0129284299903098
oxygen,0.5023891338140178,0.5023891338140177,0.5023891338140181,0.7329401488269387,0.679212853941456,0.6792128539414537,28.56131905540222,146.63960532845314,717.95827045459,717.9582704545899,717.95827045459,717.9582704545899,717.95827045459,717.9453486153255
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
