technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,105473.3486070872,106005.51484682832,106544.77433271425,107612.61426404428,107765.59565860793,107784.35408222115,107784.35408222115,84113.42176965659,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,27923.782673339098,28054.14230680169,28148.435088573333,28175.827513148877,28177.071934513675,28177.07193451368,28177.071934513675,28155.79590544526,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,64225.085499192915,64524.914455130616,64741.78915445359,64804.79210899507,64807.65429530723,64807.65429530723,64807.65429530723,64758.7191348389,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,coal_for_cement,115075.85678066837,115728.17072440786,116380.48466814728,117032.79861188677,117685.17156272384,118337.48583353232,118989.80010434077,119642.11437514923,120294.4286459577,120946.74291676619,121599.05718757461,122251.3714583831,122903.68572919157,123555.99999999999
cement_plant,electricity,20050.44712336292,20164.104206635475,20277.761289908016,20391.41837318057,20505.08573766,20618.742877920005,20732.400018180004,20846.057158440002,20959.714298700004,21073.371438960006,21187.02857922,21300.685719480007,21414.342859740005,21528.0
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,133.67011065249025,134.02592880774972,134.1259154519735,222.46409808475929,275.29859544675776,567.8570388572886,5033.1495150222545,44011.45902636499,187960.04476417557,188979.28581231384,189998.526860452,191017.76790859023,192037.00895672847,193046.8954834036
gasification,dry_biomass,34997.58805186151,35569.90066726378,35832.58403721743,41275.46378611897,42951.24036889156,43089.81325456117,43089.813254561166,43076.33492496517,0.0,0.0,0.0,0.0,0.0,9.656260907340918
gasification,electricity,2017.9649630002607,2050.9645744035784,2066.1109278078125,2379.9480018036234,2476.573472817233,2484.5636013852,2484.5636013852,2483.7864393463706,0.0,0.0,0.0,0.0,0.0,0.5567811174795123
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,hydrogen,102998.65650208449,103763.48717129142,104341.6453972054,108595.01159695542,109785.60502304835,110073.20178840315,112930.98897314872,119642.11437514923,120294.4286459577,120946.74291676619,121599.05718757461,122251.3714583831,122903.68572919157,123555.99999999999
