technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014494447450199,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,28349.531722595217,28349.531722595213,28349.53172259521,37497.49506279448,52038.505513983684,59751.22934782895,62309.21264724435,62309.212647244356,62041.70856671524,57507.74469663269,50043.215966500735,0.0,0.0,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,1.2514284355200772e-05,0.0,0.0,0.0,1.251428571420049e-05,-0.0242222753242772,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,9155.846994305535,9155.846994305535,9155.846994305535,12454.494887402941,16778.538444743222,18561.126789928545,18687.9638385944,18809.176703063004,18828.335609147733,18830.453261639253,18820.14516319268,0.0,0.0,0.0
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,21058.574438349362,21058.574438349362,21058.574438349362,28645.51011408745,38590.86996812922,42690.847761922225,42982.57472421547,43261.36598524082,43305.43173363019,43310.302363584466,43286.593594904734,0.0,0.0,0.0
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,coal_for_cement,115075.85678066837,109478.05847358718,103880.26016650598,98282.46185942477,92684.66355234357,87086.86524526235,81489.06693818115,75891.26863109994,70293.47032401874,64695.672016937526,59097.87370985632,53500.07540277511,47902.277095693906,42304.47878861263
cement_plant,electricity,20050.44712336292,19075.104752657782,18099.762381952645,17124.420011247505,16149.077640542364,15173.735269837225,14198.392899132084,13223.050528426946,12247.708157721805,11272.365787016666,10297.023416311527,9321.681045606387,8346.338674901246,7370.996304196095
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005047486950372,0.0,0.0,0.0
cement_plant_pcc_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,15.562305995429874,15.562305995429876,306.7163080895716,948.0008070794637,2108.9710913613267,2940.821398757323,3845.2481600579995,4774.543341321349,5721.766620882407,6555.105765783322,7150.941312643738,83593.86781683611,74847.30796202173,66100.74810720723
gasification,dry_biomass,0.0,0.0,0.0,1911.217388450583,7791.093814767147,24713.97145096802,26356.213535571045,26356.213535571045,26356.208432871044,26160.264828617313,25787.013189825648,0.0,0.0,0.0
gasification,electricity,0.0,0.0,0.0,110.20101502009065,449.2353678302094,1425.0104438837038,1519.7023118656502,1519.70231186565,1519.7020176433796,1508.4038868258478,1486.8821542896555,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,hydrogen,21839.12113139665,21839.121131396878,22025.459692737128,30664.77773873634,46249.918633829955,63213.31124651165,66779.98560655185,67374.7345225604,67774.97591604272,64695.672016937526,59097.87875734327,53500.07540277511,47902.277095693906,42304.47878861263
