technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0129065299903098
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0129072392643311
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,3248.4510445664123,3250.4725474631414,3250.4725474631414,3250.4725474631414,3250.472547463142,3250.4725474631414,3250.4725474631414,2811.958331666335,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,78654.98897255235,78703.93577392594,78703.93577392593,78703.93577392593,78703.93577392596,78703.93577392593,78703.93577392593,68086.15815172724,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,59979.35041783384,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,59998.86404774586,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,natural_gas,59979.35041783384,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,59998.86404774586,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,80.52398362141662,80.52398362141662,80.52398362141665,117.47718365554405,108.86566019257198,108.86566019257157,4577.868096714574,23503.703370484556,115075.85678066837,115075.85678066836,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
electrolysis,oxygen,0.5023891338140178,0.5023891338140177,0.5023891338140181,0.7329401488269387,0.679212853941456,0.6792128539414537,28.56131905540222,146.63960532845314,717.95827045459,717.9582704545899,717.95827045459,717.9582704545899,717.95827045459,717.9582704545899
gasification,hydrogen,19366.563791912682,19645.243824214747,19658.574862711863,23132.0821514022,23494.351839519255,23494.351839519255,23494.351839519255,23485.995258456573,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,coal_for_cement,98102.07674808645,98429.70358176225,98443.03462025922,101953.49510898368,102307.15327363776,102307.15327363768,106776.15571015958,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
pv_ground,electricity,6718.691688090537,6741.390094047241,6741.390094047241,6821.258103188002,6821.258103188002,6821.258103188002,6821.258103188002,6871.029320066856,804.9880145375614,804.9880145375614,804.9880145375614,804.9880145375614,804.9880145375614,804.9880145375614
wind_offshore,electricity,367.3033935353721,805.3412247735452,805.7589850403938,805.7589850403938,805.7589850403938,805.7589850403939,805.7589850403938,2368.354613763327,47737.9404529875,47737.9404529875,47737.9404529875,47737.9404529875,47737.9404529875,47737.940452987496
wind_onshore,electricity,10706.149136859784,10983.68310228268,11097.444220194277,11398.421155002143,11418.656730586143,11418.656730586135,18401.473037651773,46798.460861073545,151204.16680342075,151204.16680342075,151204.16680342145,151204.16680342023,151204.16680342075,151204.16308797008
