technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,3354.1613132152934,3371.0847487287365,3388.2337567884033,3422.1921684030413,3427.0571345965254,3427.653671822387,3427.653671822387,2674.89360059045,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,81214.55964201679,81624.32805638587,82039.55827574825,82861.79584510995,82979.59163671974,82994.03563734592,82994.03563734592,64767.39953003511,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,64225.085499192915,64524.914455130616,64741.78915445359,64804.79210899507,64807.65429530723,64807.65429530723,64807.65429530723,64758.7191348389,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,natural_gas,64225.085499192915,64524.914455130616,64741.78915445359,64804.79210899507,64807.65429530723,64807.65429530723,64807.65429530723,64758.7191348389,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,cement,171371.3429347258,172342.77099688438,173314.19905904288,174285.62712120145,175257.1430569231,176228.57160615388,177200.00015538462,178171.4287046154,179142.8572538462,180114.285803077,181085.7143523077,182057.1429015385,183028.57145076926,184000.0
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,85.54887081759377,85.77659443695983,85.84058588926304,142.37702277424594,176.1911052712583,363.428509053998,3221.2156937995765,28167.33377687359,120294.42864861224,120946.74291942074,121599.05719022916,122251.37146103763,122903.68573184611,123550.0131089182
electrolysis,oxygen,0.533739405030967,0.5351601726921918,0.5355594153631115,0.8882902450885197,1.0992708686250874,2.2674450308256007,20.09717927645326,175.73599543391433,750.5169695221301,754.5867582577042,758.656546993278,762.7263357288521,766.7961244644262,770.8285609699789
gasification,hydrogen,21698.547989250113,22053.38252046858,22216.246535567876,25590.83872907122,26629.822288357343,26715.737649303224,26715.737649303224,26707.381068240542,0.0,0.0,0.0,0.0,0.0,5.986893736338843
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,coal_for_cement,102998.65650208449,103763.48717129142,104341.6453972054,108595.01159695542,109785.60502304835,110073.20178840315,112930.98897314872,119642.11437514923,120294.4286459577,120946.74291676619,121599.05718757461,122251.3714583831,122903.68572919157,123555.99999999999
pv_ground,electricity,6669.466344500525,6728.806181280172,6762.59306905449,6872.2286713041285,6895.290849715866,6905.109497535084,6907.30298913967,6960.106511034286,862.8566040447695,870.1057123645203,877.3548206842701,884.603929004021,891.8530373237713,899.1021456435213
wind_offshore,electricity,367.22615284013744,805.7926813421961,812.0300472829338,818.562849519661,825.0956517563881,830.5528744496933,881.8763812208902,4168.663801412144,48187.364637303166,48243.542660342624,48299.72068338208,48355.89870642154,48412.076729461,48461.11922128429
wind_onshore,electricity,10881.1739564173,11219.822913675873,11404.523156377889,11769.606869416628,11997.656029838814,12395.369318610754,16919.30704364954,53421.18412495162,159755.199618589,160824.05065989532,161892.901701202,162961.75274250735,164030.6037838125,165097.79261599318
