technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0504403931341902,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0504167351892951,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,901.5443598546104,901.5443598546104,901.5443598546103,1192.4590329509601,1654.878168728364,1900.1507446410535,1981.4972528922708,1981.4972528922708,1972.9903471204586,1828.8056179032344,1591.4259023765924,0.0,0.0,0.0
SMR,hydrogen,21829.161255559575,21829.16125555957,21829.161255559568,28873.10007145182,40069.68931545675,46008.4926063209,47978.14171651987,47978.14171651987,47772.16336853411,44281.00769741487,38533.31482752039,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,2.8258063980001608e-06,0.0,0.0,0.0,2.8258064515996467e-06,-0.0033561193924384,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,4.866666639100005e-06,0.0,0.0,0.0,4.866666651500025e-06,-0.0002937062398861,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,2.919998729797313e-06,0.0,0.0,0.0,2.9200002432012984e-06,-0.0186578866605001,0.0,0.0,0.0
anaerobic_digestion,biomethane,21058.574438349362,21058.574438349362,21058.574438349362,28645.51011408745,38590.86996812922,42690.847761922225,42982.57472421547,43261.36598524082,43305.43173363019,43310.302363584466,43286.593594904734,0.0,0.0,0.0
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,natural_gas,21058.574438349362,21058.574438349362,21058.574438349362,28645.51011408745,38590.86996812922,42690.847761922225,42982.57472421547,43261.36598524082,43305.43173363019,43310.302363584466,43286.593594904734,0.0,0.0,0.0
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,cement,171371.3429347258,163035.0833560494,154698.823777373,146362.5641986966,138026.3046200202,129690.0450413438,121353.7854626674,113017.52588399098,104681.26630531458,96345.00672663817,88008.74714796177,79672.48756928535,71336.22799060894,62999.96841193243
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00335894519889,0.0,0.0,0.0
cement_plant_pcc_coal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001474576942312,0.0,0.0,0.0
cement_plant_pcc_ng,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,9.95987583707512,9.95987583707512,196.2984371773258,606.7205165308567,1349.7415024619158,1882.1256952046867,2460.95882594112,3055.70774681633,3661.93063736474,4195.267694286659,4576.602444277325,53500.07540277511,47902.277095693906,42304.47878861263
electrolysis,oxygen,0.0621396653475116,0.0621396653475116,1.2247059495493342,3.785329302636012,8.421073811080369,11.742582212382036,15.353958697925345,19.064569159720406,22.846785246518607,26.17428254271473,28.5534300479065,333.7869704379139,298.8623068000343,263.9376431621542
gasification,hydrogen,0.0,0.0,0.0,1184.957150753663,4830.487826131283,15322.692944986064,16340.885073824196,16340.885073824194,16340.881910143868,16219.396632536,15987.98015365221,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,coal_for_cement,21839.12113139665,21839.121131396878,22025.459692737128,30664.77773873634,46249.918633829955,63213.31124651165,66779.98560655185,67374.7345225604,67774.97591604272,64695.672016937526,59097.87875734327,53500.07540277511,47902.277095693906,42304.47878861263
pv_ground,electricity,9171.16647595903,9834.40627460296,9834.406274602476,9968.745666615278,10061.635720074388,10281.752005027607,10281.777605597792,10281.777311375521,10281.777311375521,10281.777311375521,10173.474363529256,262.07544718517875,213.35475631507344,164.6340654449675
wind_offshore,electricity,304.43188541965685,304.43188541965685,300.0375266048401,304.43188541965685,332.52734387380826,395.7892674143299,395.7892674143299,395.78926741432997,395.7892674143299,395.7892674143299,395.7892674143299,42434.96372204464,41952.87492832256,41470.78613460048
wind_onshore,electricity,6522.480073008644,6522.480073008644,6522.480073008644,6523.220062121895,6539.756498779089,6771.80499699585,6771.80499699585,6771.80499699585,6771.80499699585,6768.010861788382,6717.970949507391,50167.65858269792,40981.88647465327,31796.114366606544
