carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,16973.78003258191,16646.153198906264,16632.82216040937,13122.361671684806,12768.703507031018,12768.70350703069,8299.701070508774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,31236.33073997596,31685.813764075963,31707.315396067963,37309.7353019966,37894.04008196061,37894.04008196061,37894.04008196061,37880.56175236461,0.0,0.0,0.0,0.0,0.0,0.0
electricity,936.761017367156,222.3865548567464,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,42169.883760819896,42165.00218138343,42165.00218138343,42165.00218138343,42165.002181383425,42165.002181383425,42165.00218138343,28424.629543902298,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,26077.8219746658,26107.582139747363,26107.582139747363,26107.582139747363,26107.582139747363,26107.582139747363,26107.582139747363,26086.30611067895,0.0,0.0,0.0,0.0,0.0,0.0
