carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,12077.200278583874,11964.683553116445,12038.83927094189,8437.787014931353,7899.566539675497,8264.284045129176,6058.811131192049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,34997.58805186151,35569.90066726378,35832.58403721743,41275.46378611897,42951.24036889156,43089.81325456117,43089.813254561166,43076.33492496517,0.0,0.0,0.0,0.0,0.0,9.656260907340918
electricity,930.0544300390527,223.588184816786,110.61810367657054,111.23991441819226,111.85813514170836,112.47815087427728,113.97304388761003,116.45458616260781,114.33819807198394,114.95821380455288,115.57822953712171,116.19824526969062,116.81826100225952,117.43827673482838
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,41248.26310789428,41480.600391697706,41802.98517826067,42807.822155049216,42957.9413633007,42976.69978691392,42976.69978691392,19354.702634817684,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,27923.7826733391,28054.142306801692,28148.435088573333,28175.82751314888,28177.07193451368,28177.07193451368,28177.07193451368,28155.795905445262,0.0,0.0,0.0,0.0,0.0,0.0
