carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,93236.7356492713,87638.9373421903,81854.80047376885,67617.68412068843,46434.74491851389,23873.553998750634,14709.081331629362,8516.534108541766,2518.494407976014,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,1911.217388450583,7791.093814767147,24713.97145096802,26356.213535571045,26356.213535571045,26356.208432871044,26160.264828617313,25787.013189825648,0.0,0.0,0.0
electricity,3166.3866351164074,1527.804465767827,848.0104559716466,193.76518623927916,118.4863585449192,190.07009839931942,132.4742384222974,86.42734320263939,66.81487334143081,61.49237627770165,56.17203761844641,50.85111051465028,45.5304776331246,40.20984475159885
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,7290.957284245849,7290.957284245849,7290.957284245849,8851.984948707026,13447.635545854468,17060.38158590673,19326.63792302888,19047.846662003536,18736.27683308505,14197.442333048148,6756.598136806474,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,9155.846994305535,9155.846994305537,9155.846994305537,12454.494887402941,16778.538444743222,18561.126789928545,18687.963838594405,18809.176703063004,18828.335609147736,18830.453261639257,18820.14516319268,0.0,0.0,0.0
