technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,102149.19407125755,102212.7612822014,102212.7612822014,102212.80354630109,102212.7612822014,102212.7612822014,102212.7612822014,88423.49289667084,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,natural_gas,1.2514281807700367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,26077.821974665796,26107.582139747363,26107.582139747363,26107.582139747363,26107.582139747363,26107.58213974736,26107.582139747363,26086.306110678946,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,59979.35041783384,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821419,59998.86404774586,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,coal_for_cement,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
cement_plant,electricity,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,125.8189360914981,125.83959723070909,125.8187244084634,183.5580994617877,170.1012548755816,170.10125487558167,7152.917561941224,36724.48775422626,179806.02621979435,179806.02621979435,179806.02621979432,179806.02621979435,179806.02621979432,179806.02621979435
gasification,dry_biomass,31236.328061492055,31685.811085592057,31707.312717584056,37309.7326235127,37894.091280104694,37894.091280104694,37894.091280104694,37880.6129505087,0.0,0.0,0.0,0.0,0.0,0.0
gasification,electricity,1801.0902782061885,1827.0075212102804,1828.2473077905122,2151.2834856387135,2184.977673166183,2184.977673166183,2184.977673166183,2184.200511127354,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,hydrogen,98102.0443401743,98429.68439697904,98443.00207686986,101953.49510898368,102307.15327363776,102307.15327363777,106776.15571015977,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
