technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,3248.4497691098304,3250.4712720065595,3250.471272006559,3250.4726160485375,3250.471272006559,3250.471272006559,3250.471272006559,2811.9583095653393,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,78654.9580898264,78703.90489119999,78703.90489119997,78703.93743458927,78703.90489119997,78703.90489119997,78703.90489119997,68086.15761659417,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,3.5039994669998006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,4.866666619300007e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,3.6499972818002102e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,59979.35041783384,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821419,59998.86404774586,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,natural_gas,59979.35041783384,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821418,60047.79920821419,59998.86404774586,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,80.52411909855878,80.53734222765382,80.52398362141658,117.47718365554411,108.86480266025102,108.86480266025106,4577.8672406991445,23503.67216270481,115075.85678066839,115075.85678066839,115075.85678066837,115075.85678066839,115075.85678066837,115075.85678066839
electrolysis,oxygen,0.5023899790559077,0.5024724781583315,0.5023891338140175,0.7329401488269393,0.6792128539414533,0.6792128539414536,28.561319055402272,146.63941062311528,717.95827045459,717.95827045459,717.95827045459,717.95827045459,717.95827045459,717.95827045459
gasification,hydrogen,19366.56213124934,19645.242163551404,19658.57320204852,23132.080490738856,23494.383582432078,23494.383582432078,23494.383582432078,23486.027001369395,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,coal_for_cement,98102.0443401743,98429.68439697904,98443.00207686986,101953.49510898368,102307.15327363776,102307.15327363777,106776.15571015977,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
pv_ground,electricity,6718.7609418367965,6741.460379117479,6741.461621470476,6821.2588955195415,6821.262002052124,6821.262002052124,6821.262002052124,6871.032426599438,804.9880145375614,804.9880145375614,804.9880145375614,804.9880145375614,804.9880145375614,804.9880145375614
wind_offshore,electricity,367.3033935353721,805.3412247735453,805.7589850403938,805.7589850403938,805.7589850403938,805.7589850403937,805.7589850403939,2368.354613763327,47737.9404529875,47737.9404529875,47737.9404529875,47737.9404529875,47737.9404529875,47737.9404529875
wind_onshore,electricity,10706.148121501157,10983.682086924053,11097.443204835648,11398.420139643515,11418.655715227505,11418.655715227507,18401.47202229315,46798.411966577,151204.16680342078,151204.16680342075,151204.16680342078,151204.16680342078,151204.16680342075,151204.16680342078
