technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,901.5441921306767,901.5441921306767,901.5441921306767,1192.4582941424799,1654.876027589049,1900.1631333536702,1981.5104001385207,1981.5104001385207,1973.0034943667085,1828.818785199079,1591.4382925700259,0.0,0.0,0.0
SMR,hydrogen,21829.157194447373,21829.157194447376,21829.157194447376,28873.08218262663,40069.6374718898,46008.7925751494,47978.46005178015,47978.46005178016,47772.481703794394,44281.3265181375,38533.61483220401,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,21058.574438349362,21058.574438349362,21058.574438349362,28645.53686276834,38590.85261978698,42690.830413579984,42982.86436926077,43261.65563028612,43305.721378675495,43310.59200862977,43286.88323995004,0.0,0.0,0.0
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,natural_gas,21058.574438349362,21058.574438349362,21058.574438349362,28645.53686276834,38590.85261978698,42690.830413579984,42982.86436926077,43261.65563028612,43305.721378675495,43310.59200862977,43286.88323995004,0.0,0.0,0.0
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,cement,171371.3429347258,163035.0833560494,154698.823777373,146362.5641986966,138026.3046200202,129690.0450413438,121353.7854626674,113017.52588399098,104681.26630531458,96345.00672663817,88008.74714796177,79672.48756928535,71336.22799060894,62999.96841193243
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,9.95987583707515,9.959875837075153,196.29843717726698,606.7205165308802,1349.742411971294,1882.1535703562322,2460.990708615255,3055.740998702728,3661.961713300169,4195.299780528186,4576.624340469691,53500.07540277511,47902.277095693906,42304.47878861263
electrolysis,oxygen,0.0621396653475118,0.0621396653475118,1.2247059495489672,3.785329302636159,8.42107209007102,11.742756125452528,15.35412842911084,19.064768090906313,22.846986527340018,26.174482728775615,28.553566658250666,333.7869704379139,298.8623068000343,263.9376431621542
gasification,hydrogen,0.0,0.0,0.0,1184.9603144339903,4830.514040951289,15322.71798539691,16340.534166860041,16340.534166860043,16340.527839499387,16219.045725571847,15987.634544482617,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,coal_for_cement,21839.11707028445,21839.11707028445,22025.45563162464,30664.7630135915,46249.893921892384,63213.664130902536,66779.98491995544,67374.73521734288,67774.97124929396,64695.672016937526,59097.87370985632,53500.07540277511,47902.277095693906,42304.47878861263
pv_ground,electricity,9171.167615002882,9834.407413646326,9834.407413646326,9968.747099881399,10061.641147775592,10281.755569203242,10281.781169773427,10281.781169773427,10281.781169773427,10281.781169773427,10173.47822192716,262.07544718517875,213.35475631507344,164.6340654449675
wind_offshore,electricity,304.4318854196608,304.4318854196608,300.037526604844,304.4318854196608,332.5273438738122,395.7891710407558,395.7891710407558,395.78917104075583,395.7891710407558,395.7891710407558,395.7891710407558,42434.96372204464,41952.87492832256,41470.78613460048
wind_onshore,electricity,6522.480644093186,6522.480644093186,6522.480644093186,6523.220633206438,6539.757082710109,6771.805568080393,6771.805568080393,6771.805568080393,6771.805568082818,6768.011432872924,6717.97152062837,50167.65858269736,40981.88647465227,31796.11436660625
