carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,16973.81244049479,16646.172383689332,16632.85470379845,13122.361671685063,12768.703507030901,12768.703507030872,8299.701070508465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,31236.328061492055,31685.811085592057,31707.312717584056,37309.7326235127,37894.091280104694,37894.091280104694,37894.091280104694,37880.6129505087,0.0,0.0,0.0,0.0,0.0,0.0
electricity,936.6941116774494,222.3184061600262,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277,109.37807221143277
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,42169.84365342369,42164.962073987226,42164.962073987226,42165.00433808691,42164.96207398722,42164.962073987226,42164.96207398722,28424.62884892497,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,26077.8219746658,26107.582139747363,26107.582139747363,26107.582139747363,26107.582139747363,26107.582139747363,26107.582139747366,26086.306110678946,0.0,0.0,0.0,0.0,0.0,0.0
