carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,12077.208658543374,11964.691933075945,12038.847650901387,8437.777880750593,7899.54368654662,8264.274910948418,6058.801997011286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,34997.58805186151,35569.90066726378,35832.58403721743,41275.44222863497,42951.24036889156,43089.81325456117,43089.81325456117,43076.33492496517,0.0,0.0,0.0,0.0,0.0,9.656260907340918
electricity,930.0544300424124,223.58818481810846,110.61810367657054,111.23936241615296,111.85813514170836,112.47815087427728,113.97615042024472,116.45092762795046,114.33819807198394,114.95821380455288,115.57822953712171,116.19824526969062,116.81826100225952,117.43827673482838
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,41248.25222484088,41480.589508644305,41802.97429520727,42807.850789871205,42957.969998122695,42976.72842173592,42976.72842173592,19354.704387954633,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,27923.782673339098,28054.14230680169,28148.435088573333,28175.827513148877,28177.071934513675,28177.071934513675,28177.07193451368,28155.795905445262,0.0,0.0,0.0,0.0,0.0,0.0
