technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,2615.665627508736,4116.865252505075,7964.827999979372,8173.939631482357,8173.939631482357,8173.939631482357,8173.939631482357,9272.841229411044,11915.869628382441,11915.869628382441,11915.869628382441,11915.869628382441
DAC,electricity,0.0,0.0,0.0,12342.536820264855,12342.536820264855,12342.536820264855,12342.536820264855,12342.536820264855,12342.536820264853,12342.536820264855,0.0,0.0,0.0,0.0
SMR,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefication,carbon,0.0,0.0,30387.85423162461,65034.004077511796,107143.54102187009,109057.3894736842,109057.38947368432,109057.38947368422,109057.38947368422,109057.38947368422,109057.38947368422,109057.38947368422,109057.38947368422,109057.38947368422
carbon_liquefication,electricity,0.0,0.0,2308.261407434205,4939.982949727796,8138.623376021252,8283.999304421053,8283.99930442106,8283.999304421053,8283.999304421053,8283.999304421053,8283.999304421053,8283.999304421053,8283.999304421053,8283.999304421053
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,28868.46152004338,61782.30387363621,101786.36397077658,103604.52,103604.5200000001,103604.52,103604.52,103604.52,103604.52,103604.52,103604.52,103604.52
carbon_storage,electricity,0.0,0.0,1088.629683920836,2329.8106790748216,3838.363785337985,3906.9264492,3906.926449200004,3906.9264492000007,3906.9264492000007,3906.9264492000007,3906.9264492000007,3906.9264492000007,3906.9264492000007,3906.9264492000007
cement_plant,coal_for_cement,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
cement_plant,electricity,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292
cement_plant_oxy_combustion,electricity,0.0,0.0,4356.953933053287,6857.524931746076,13267.1348797954,13615.455298025568,13615.455298025568,13615.455298025568,13615.455298025568,15445.912367453851,19848.444884210527,19848.444884210527,19848.444884210527,19848.444884210527
cement_plant_oxy_combustion,oxygen,0.0,0.0,9096.936783298073,14317.909198151146,27700.6112874849,28427.873699174263,28427.873699174263,28427.873699174263,28427.873699174266,32249.707140837712,41441.808000000005,41441.808000000005,41441.808000000005,41441.808000000005
cement_plant_post_comb,coal_for_cement,0.0,0.0,5371.639573660947,15735.292444127099,21476.245033474894,21476.245033474894,21476.245033474894,21476.245033474894,21476.245033474894,13098.3838310916,0.0,0.0,0.0,0.0
electrolysis,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
