technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.33222699148318,497.3283435603499,497.3283435603499,497.32834356035
SMR,natural_gas,3598.0771831770326,30145.040377729252,30145.040377729252,30145.040377729252,30145.040377729252,30145.040377729252,30145.040377729252,30145.040377729252,30125.930901381875,30145.040377729252,30145.040377729252,30328.2204522501,58543.81410843468,92290.27365023714
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,0.0,9277.544121209965,9277.544121209965,9277.544121209965,9277.544121209965,9277.544121209965,9277.544121209965,9277.544121209965,9277.544121209965,9277.544121209965,9277.544121209965,9792.439238806963,23461.699265338157,38840.40395522282
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,0.0,21338.479509659977,21338.479509659977,21338.479509659977,21338.479509659977,21338.479509659974,21338.479509659977,21338.479509659974,21338.479509659974,21338.479509659977,21338.479509659977,22522.745385728325,53962.232083670264,89333.46509780307
carbon_liquefication,carbon,0.0,0.0,13894.522684651554,24389.015927134205,32052.91428691939,40004.095508259226,47920.50114025165,55505.9997565253,63137.15590312274,71131.64841767849,88861.80166526591,94814.32128555076,95090.28542935997,95090.7384847176
carbon_liquefication,electricity,0.0,0.0,1055.427943126132,1852.5896498251143,2434.7393692343967,3038.711094807371,3640.041266613515,4216.235741505661,4795.898362401203,5403.160013806857,6749.942454493599,7202.095844850435,7223.0580812141825,7223.092495299148
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001093643760605,0.0,-0.0002233392784369,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,13199.796550418978,23169.565130777497,30450.268572573423,38003.89073284627,45524.47608323907,52730.699768699036,59980.298107966606,67575.06599679455,84418.71158200262,90073.60522127322,90335.77115789197,90336.20156048171
carbon_storage,electricity,0.0,0.0,497.76432791629964,873.7243010816194,1148.2796278717437,1433.1267195356327,1716.727993098945,1988.4746882776408,2261.857041651421,2548.255738739123,3183.429613757319,3396.6756528942133,3406.5619303641065,3406.5781608457655
cement_plant,coal_for_cement,115075.85678066837,115728.17072440786,116380.48466814728,117032.79861188677,117685.17156272384,118337.48583353232,118989.80010434077,119642.11437514923,120294.4286459577,120946.74291676619,121599.05718757461,122251.3714583831,122903.68572919157,123555.99999999999
cement_plant,electricity,20050.44712336292,20164.104206635475,20277.761289908016,20391.41837318057,20505.08573766,20618.742877920005,20732.400018180004,20846.057158440002,20959.714298700004,21073.371438960006,21187.02857922,21300.685719480007,21414.342859740005,21528.0
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_post_comb,coal_for_cement,0.0,0.0,11574.137396314747,20316.05026730279,26700.077601003846,33323.41155837994,39917.777449829584,46236.49785903645,52593.25086730124,59252.66325562792,73954.84529671117,78696.19073498876,78926.06886678183,78926.44626189474
electrolysis,electricity,0.0,17.459236967021795,8194.819995336158,23979.869542482313,35387.65146200838,46428.89972327988,57514.910787765984,68328.43991425187,79789.96121222377,90762.9556101762,115558.17466360859,124104.81134005777,127797.16225634141,146064.66780241785
gasification,dry_biomass,0.0,827.2531188674863,827.2531188674863,827.2531188674863,827.2531188674863,827.2531188674863,827.2531188674863,1564.5901921734428,1569.1604626845206,1573.7303802417678,2114.558602025838,2118.4554856800005,5823.08145996024,24500.885094105062
gasification,electricity,0.0,47.699510232919735,47.699510232919735,47.699510232919735,47.699510232919735,47.699510232919735,47.699510232919735,90.21445090962253,90.47797323433593,90.74147520769074,121.92569284419548,122.15038760508402,335.75954850040443,1412.723859973818
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,hydrogen,2770.5222015685163,23735.776173708484,28969.28705906473,39071.718769238265,46372.69919773495,53439.09808494867,60534.14516326909,67911.95370692026,75235.44659655381,82275.71068024807,98479.96503667776,104093.27738663454,130479.28351214595,179735.5483073152
