technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.19896442272017
SMR,electricity,118.94622241085695,479.78483080754387,479.78483080754387,479.78483080754387,479.78483080754387,479.78483080754387,479.78483080754387,479.78483080754387,479.78483080754387,472.14198279222256,463.3425587559693,454.5431347197161,404.5949052193332,375.94644015934136
SMR,hydrogen,2880.053811400894,11617.066121248035,11617.066121248034,11617.066121248034,11617.066121248034,11617.066121248034,11617.066121248034,11617.066121248034,11617.066121248035,11432.009268576816,11218.948153897561,11005.887039218305,9796.486809184824,9102.819374318193
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,0.0,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,10015.483642115525,11171.612722821174
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,natural_gas,0.0,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,11341.921238380448,10015.483642115525,11171.612722821174
carbon_liquefication,carbon_liquid,0.0,0.0,7610.571830802208,12149.957139503997,13902.516443634226,15650.213576377062,17397.91070911988,19145.60784186276,20893.381230033,22702.167832746218,24520.194332939293,26333.518063412623,51986.51644753582,82078.72748639295
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,cement,171371.3429347258,163035.0833560494,154698.823777373,146362.5641986966,138026.3046200202,129690.0450413438,121353.7854626674,113017.52588399098,104681.26630531458,96345.00672663817,88008.74714796177,79672.48756928535,71336.22799060894,62999.96841193243
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_post_comb,carbon,0.0,0.0,8011.128242949692,12789.428567898945,14634.22783540445,16473.909027765327,18313.590220126185,20153.271412487113,21993.03287371895,23897.018771311807,25810.7308767782,27715.37731280705,54622.04639408712,86059.46778361505
cement_plant_post_comb,electricity,0.0,0.0,13018.08339479325,20782.821422835787,23780.62023253223,26770.10217011866,29759.584107705054,32749.06604529156,35738.678419793294,38832.65550338169,41942.43767476457,45037.48813331145,88760.82539039158,139846.63514837448
electrolysis,hydrogen,0.0,9.95987583707512,453.7890712093017,5527.361506532823,7925.895104989322,10331.768043257562,12737.640981525807,15143.513919794037,17549.464595086076,20012.722511699674,22484.66126614678,24946.236087356,50460.10107681696,79332.0690513055
electrolysis,oxygen,0.0,0.0621396653475116,2.8311900152748324,34.48520843925828,49.44965956002837,64.45990082188392,79.4701420837395,94.48038334559499,109.49110960874202,124.85937575049425,140.28180163948977,155.63956694901407,314.820570618261,494.95277881109496
gasification,hydrogen,0.0,482.00028662976575,482.00028662976575,482.00028662976575,482.00028662976575,482.00028662976575,482.00028662976575,482.00028662976575,481.9971229494384,482.00028662976575,481.9730110888147,481.56194717908687,79.6729472869765,79.6729472869765
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.115385522026611,100.60249805585072,132.99376395480436
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.405164566861924,327.69543340667985,433.20444284952566
hydrogen_for_cement_conversion,coal_for_cement,2880.053811400894,12109.026283714875,12552.855479087102,17626.427914410622,20024.96151286712,22430.83445113536,24836.707389403608,27242.58032767184,29648.527839283553,31926.732066906254,34185.58243113316,36447.090238320256,60663.956266695444,88947.7658157602
pv_ground,electricity,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715,4607.6573688856715
wind_offshore,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,electricity,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938,1345.9321779860938
