carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,112195.80296926748,97369.0321898723,98000.67451379598,91309.62794207393,84850.0138263683,78378.79701425545,71907.58020214262,65436.36339002985,58965.13886854302,52675.15658653398,46412.63009907936,40139.89446602312,32738.485475273035,25044.24963660391
dry_biomass,0.0,777.4182623051491,777.4182623051491,777.4182623051491,777.4182623051491,777.4182623051491,777.4182623051491,777.4182623051491,777.4131596051492,777.4182623051491,777.3742695851491,798.3324545350407,657.0444612207983,827.2199425511643
electricity,13977.911354080295,12702.118707630472,297.69602497519696,19.212469094839715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,3740.3258848663413,3745.162533284376,3745.162533284376,3745.162533284376,3745.162533284376,3745.162533284376,3745.162533284376,3745.162533284376,3745.162533284376,3504.829198720264,3228.1267290863148,2951.4242594523657,2707.213776972805,650.2187986058649
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4931.240516023052,4354.531977918989,4857.193779628189
